index,Наименование параметра,7Б510
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Номинальное тяговое усилие, кН(тс)",100(10)
3,"Наибольшая длина хода рабочих салазок (каретки), мм",100..1250
4,"Наибольшая настроенная длина хода рабочих салазок (каретки), мм",
5,"Расстояние от станины до оси отверстия под планшайбу в опорной плите, мм",
6,"Максимальный наружный диаметр обрабатываемой детали, мм",
7,"Размеры рабочей поверхности передней опорной плиты станка, мм",
8,"Диаметр отверстия под планшайбу в опорной плите, мм",
9,"Диаметр отверстия в планшайбе, мм",100
10,"Диаметр планшайбы, мм",
11,"Скорость рабочего хода, м/мин",15..90
12,Регулирование скорости рабочего хода,бесступенчатое
13,"Рекомендуемая скорость обратного хода, м/мин",20..25
14,"Рекомендуемая скорость подвода и отвода протяжки, м/мин",15
15,Электрооборудование. Привод,
16,Количество электродвигателей на станке,
17,"Электродвигатель привода главного движения, кВт",17
18,"Электродвигатель привода гидронасоса гидростанции, кВт",
19,"Электродвигатель насоса охлаждения, кВт",
20,"Суммарная мощность электродвигателей установленных на станке, кВт",
21,Габариты и масса станка,
22,"Габариты станка (длина ширина высота), мм",
23,"Масса станка, кг",
