index,Наименование параметра,312
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемого изделия, мм",200
3,"Наибольшая длина устанавливаемого изделия (РМЦ), мм",500
4,"Наибольший диаметр наружного шлифования в люнетах, мм",7..40
5,"Наибольший диаметр наружного шлифования в патроне, мм",7..40
6,"Рекомендуемый диаметр шлифования, мм",
7,"Наибольшая длина наружного шлифования, мм",500
8,"Диаметр шлифуемого отверстия, мм",
9,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",110
10,"Максимальная масса изделия, кг",
11,Станина и столы станка,
12,"Наибольшее продольное перемещение стола от руки / механически, мм",590 / 500
13,"Продольное перемещение стола от руки за один оборот маховика, мм",15..14
14,"Наименьший ход стола между упорами (автоматический ход стола), мм",5
15,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм",
16,"Скорость перемещения стола от гидросистемы, м/мин",
17,"Наибольший угол поворота верхнего стола по часовой стрелке, град",6° (1:5)
18,"Наибольший угол поворота верхнего стола против часовой стрелки, град",7°
19,"Цена деления шкалы поворота верхнего стола, мин",30'
20,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",
21,Шлифовальная бабка,
22,"Наибольшее перемещение шлифовальной бабки от маховика, мм",215
23,"Расстояние оси шлифовального круга до оси изделия, мм",100..315
24,"Перемещение шлифовальной бабки относительно верхних салазок, мм",
25,"Перемещение шлифовальной бабки во время быстрого подвода, мм",25
26,"Поворот шлифовальной бабки (к изделию), град",90°
27,"Поворот шлифовальной бабки (от изделия), град",30°
28,Шлифовальный круг по ГОСТ 2424-67,
29,"Диаметр шлифовального круга - наибольший/ наименьший, м/с",300/ 200
30,"Диаметр шлифовального круга - посадочный, м/с",127
31,"Наибольшая высота устанавливаемого круга, мм",40
32,"Частота вращения шпинделя наружного шлифования, об/мин",
33,"Толчковая подача - периодическая подача с реверсированием стола, мм",
34,"Цена деления лимба поперечной подачи, мм",00025
35,"Цена деления лимба тонкой поперечной подачи, мм",00025
36,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
37,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
38,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",
39,Приспособление для внутреннего шлифования,
40,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",
41,"Наибольший диаметр шлифуемого отверстия, мм",25..50
42,"Наибольшая длина шлифуемого отверстия, мм",75
43,"Диаметр внутришлифовальной головки, мм",20..40
44,Число оборотов внутришлифовального шпинделя,
45,Передняя бабка,
46,"Частота вращения изделия (бесступенчатое регулирование), об/мин",
47,"Угол поворота в сторону шлифовального круга, град",
48,"Угол поворота в сторону от шлифовального круга, град",
49,Конус шпинделя передней бабки по ГОСТ 2847-67,
50,Задняя бабка,
51,"Величина отвода пиноли задней бабки от руки, мм",
52,Конус шпинделя пиноли задней бабки по ГОСТ 2847-67,
53,Привод и электрооборудование станка,
54,Количество электродвигателей на станке,
55,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","2,8 (3000)"
56,"Электродвигатель внутришлифовального шпинделя, кВт (об/мин)",
57,"Электродвигатель привода микроподачи, кВт (об/мин)",
58,"Электродвигатель привода изделия, кВт","0,6 (3000, 1500)"
59,"Электродвигатель насоса гидросистемы, кВт","1,0 (1000)"
60,"Электродвигатель насоса системы смазки шпинделя, кВт",
61,"Электродвигатель привода вентилятора, кВт",
62,"Электродвигатель привода генератора высокой частоты, кВт",
63,"Электродвигатель насоса системы охлаждения, кВт","0,12 (3000)"
64,"Электродвигатель магнитного сепаратора, кВт",
65,Габаритные размеры и масса станка,
66,"Габаритные размеры станка (длина х ширина х высота), мм",2000 х 1365 х 1365
67,"Масса станка с электрооборудованием и охлаждением, кг",2300
