index,Наименование параметра,1516
0,Основные параметры,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным и боковым суппортами, мм",1600
2,"Наибольшая высота обрабатываемого изделия, мм",1000
3,"Диаметр планшайбы, мм",1400
4,"Наибольшая масса устанавливаемого изделия, кг",
5,при 5—80 оборотах планшайбы в минуту,6300
6,при 100 оборотах планшайбы в минуту,
7,при 125 оборотах планшайбы в минуту,
8,при 160 оборотах планшайбы в минуту,
9,при 200 оборотах планшайбы в минуту,2400
10,при 250 оборотах планшайбы в минуту,
11,Вертикальный суппорт,
12,Количество позиций револьверной головки,5
13,"Наибольшее горизонтальное перемещение суппорта, мм",950
14,"Наибольшее вертикальное перемещение ползуна суппорта, мм",700
15,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
16,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
17,"Наибольший угол поворота ползуна суппорта, град",±45°
18,"Цена деления лимба поворота ползуна суппорта, мин",1
19,"Цена деления шкалы поворота ползуна суппорта, град",1
20,"Диаметр отверстий револьверной головки суппорта, мм",70А
21,"Наибольшие размеры сечения державки резца (ширина х высота), мм",25 х 40
22,"Наибольшее допустимое усилие резания, кН",
23,Горизонтальный суппорт (боковой),
24,"Наибольшее горизонтальное перемещение, мм",630
25,"Наибольшее вертикальное перемещение, мм",1000
26,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
27,"Горизонтальное и вертикальное перемещения за один оборот лимба, мм",25
28,"Наибольшее допустимое усилие резания, кН",
29,Количество позиций резцедержателя,
30,Поперечина (траверса),
31,"Наибольшее перемещение, мм",660
32,"Скорость перемещения, мм/мин",400
33,Выключающие упоры,Имеются
34,Блокировка перемещения в процессе резания,Имеется
35,Механика станка,
36,Число скоростей планшайбы,18
37,Число оборотов планшайбы в минуту,5..250
38,Число подач суппортов,18
39,"Вертикальные и горизонтальные подачи суппортов, мм/об","0,03 — 12,5"
40,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",4500
41,"Скорость установочных перемещений суппортов, мм/мин",5 — 1800
42,"Наибольший крутящий момент на планшайбе, кН*м",
43,Привод и электрооборудование станка,
44,Род тока питающей электросети,Переменный трехфазный
45,"Электродвигатель привода главного движения, кВт (об/мин)",30 (1460)
46,"Электродвигатель установочных перемещений суппортом, кВт (об/мин)",3 (1365)
47,"Электродвигатель перемещения поперечины, кВт (об/мин)",2 (900)
48,"Электродвигатель смазки, кВт (об/мин)","1,5 (1450)"
49,"Электродвигатель поворота и зажима револьверной головки, кВт (об/мин)","0,8 (1450)"
50,Габарит и масса станка,
51,"Габарит станка (длнна х ширина х высота), мм",3170 х 3030 х 4100
52,"Масса станка, кг",20000
