index,Наименование параметра,2Е450
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",30
2,"Наибольший диаметр расточки в стали 45, мм",10..250
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",200..770
4,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",710
5,Рабочий стол и салазки,
6,"Рабочая поверхность стола, мм",1120 х 630
7,"Наибольшая масса обрабатываемого изделия, кг",600
8,"Наибольшее продольное перемещение стола, мм",1000
9,"Наибольшее поперечное перемещение стола, мм",630
10,Число Т- образных пазов на столе,7
11,Число скоростей перемещения стола и салазок шпиндельной бабки,32
12,"Пределы рабочих подач стола при фрезеровании, мм/мин",16..7000
13,"Скорость быстрых перемещений, мм/мин",
14,"Цена деления растровой сетки установки координат, мм",0001
15,"Наибольшее усилие подачи по осям X, Y, Z, Н",
16,Шпиндель. Шпиндельная коробка,
17,"Число скоростей шпинделя, об/мин",24
18,"Частота вращения шпинделя, об/мин",10...2000
19,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя (ручное, механическое), мм",260
20,"Наибольшее вертикальное перемещение шпиндельной коробки (установочное), мм",310
21,"Число рабочих подач шпинделя, мм",30
22,"Пределы рабочих подач шпинделя, мм/мин",12..1000
23,"Диаметр гильзы шпинделя, мм",
24,Внутренний конус шпинделя,"Конус 45, 7:24"
25,Наибольший конус закрепляемого инструмента,Морзе 4
26,"Наибольший крутящий моментна шпинделе, Н*м",
27,Система ЧПУ,
28,Штатная система ЧПУ,нет
29,Количество управляемых осей координат,нет
30,Количество одновременно управляемых осей координат,нет
31,"Дискретность отсчета по осям X, Y, Z, мм",нет
32,Привод,
33,Количество электродвигателей на станке,7
34,"Электродвигатель привода главного движения, кВт",72
35,"Электродвигатель привода перемещения стола, кВт",10
36,"Электродвигатель привода гильзы шпинделя, кВт",075
37,"Электродвигатель привода каретки фотодатчика, кВт",0013
38,"Электродвигатель привода насоса смазки, кВт",001
39,"Электродвигатель привода механизма переключения скоростей, кВт",001
40,Электронасос охлаждающей жидкости Тип,ПА-22
41,Габарит станка,
42,"Габариты станка, включая ход стола и салазок (длина х ширина х высота), мм",3600 х 3305 х 2660
43,"Масса станка, кг",9200
