index,Наименование параметра,3У142
0,Основные параметры,
1,Класс точности по ГОСТ 11654—65,П/В
2,"Наибольший диаметр обрабатываемого изделия, мм",400
3,"Наибольшая длина обрабатываемого изделия, мм",1000
4,"Наибольший диаметр шлифования без люнета, мм",400
5,"Наибольший диаметр шлифования в люнете, мм",80
6,"Наименьший диаметр шлифования при изношенном круге, мм",50
7,"Наибольшая длина шлифования, мм",1000
8,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",240
9,"Наибольшая масса обрабатываемого изделия, кг",200
10,Станина и столы станка,
11,"Наибольшее продольное перемещение стола, мм",1000
12,"Наименьший ход стола между упорами, мм",4
13,"Ручное перемещение стола за один оборот маховика, мм","3,1; 20,5"
14,"Скорость перемещения стола от гидросистемы (Б/с), м/мин",005..5
15,"Наибольший угол поворота верхнего стола по часовой стрелке, град",3°
16,"Наибольший угол поворота верхнего стола против часовой стрелки, град",8°
17,"Цена деления шкалы поворота верхнего стола, град",0°20′
18,"Цена деления шкалы поворота верхнего стола (конусность), мм/м",10
19,Шлифовальная бабка,
20,"Диаметр шлифовального круга - наибольший/ наименьший, мм",600/ 450
21,"Диаметр шлифовального круга - посадочный, мм",305
22,"Наибольшая высота устанавливаемого круга, мм",63
23,"Частота вращения шпинделя шлифовальной бабки (круг = Ø525мм), об/мин",1272
24,"Частота вращения шпинделя шлифовальной бабки (круг = Ø600мм), об/мин",1112
25,Механизм поперечных подач шлифовальной бабки,
26,"Наибольшее перемещение шлифовальной бабки по винту, мм",290
27,"Величина быстрого подвода шлифовальной бабки от гидропривода, мм",50
28,"Время быстрого подвода шлифовальной бабки, с",25
29,"Подача на один оборот маховика, мм",05
30,"Цена деления лимба поперечной толчковой подачи, мм",0005
31,"Периодическая подача во время реверсирования стола (Толчковая подача), мм",00025..0025
32,"Цена деления лимба тонкой толчковой подачи, мм",0001
33,"Величина врезной подачи на диаметр изделия, мм",09
34,"Непрерывная подача для врезного шлифования (бесступенчатое регулирование), мм/мин",01..1
35,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
36,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",240
37,Приспособление для внутреннего шлифования,
38,"Наибольший диаметр заготовки, устанавливаемой в патроне, мм",250
39,"Наибольшая длина шлифуемого отверстия, мм",125
40,"Диаметр шлифуемого отверстия, мм",30..200
41,"Диаметр шлифовального круга, мм",25..80
42,"Диаметр внутиришлифовальной головки, мм",100; 80
43,Число оборотов внутришлифовального шпинделя,1690
44,Передняя бабка,
45,"Частота вращения изделия (бесступенчатое регулирование), об/мин",30..300
46,Конус центра по ГОСТ 13214-67,Морзе 5
47,"Наибольший угол поворота передней бабки, град",90°
48,Задняя бабка,
49,"Величина отвода пиноли задней бабки от руки, мм",35
50,Конус центра по ГОСТ 13214-67,Морзе 5
51,Привод и электрооборудование станка,
52,Количество электродвигателей на станке,11
53,"Электродвигатель шпинделя шлифовальной бабки, кВт",75
54,"Электродвигатель перемещения шлифовальной бабки, кВт",018
55,"Электродвигатель внутришлифовального шпинделя, кВт",11
56,"Электродвигатель привода изделия, кВт",075
57,"Электродвигатель насоса гидросистемы, кВт",22
58,"Электродвигатель насоса системы смазки шпинделя, кВт",027
59,"Электродвигатель насоса системы смазки направляющих стола, кВт",008
60,"Электродвигатель насоса системы охлаждения, кВт",015
61,"Электродвигатель магнитного сепаратора, кВт",012
62,"Электродвигатель вентилятора гидроагрегата, кВт",012
63,"Электродвигатель фильтра-транспортера, кВт",012
64,Габаритные размеры и масса станка,
65,"Габаритные размеры станка (длина х ширина х высота), мм",5900 х 2585 х 1982
66,"Масса станка с электрооборудованием и охлаждением, кг",7530
