index,Наименование параметра,ТН-1
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки, устанавливаемой над станиной, мм",150
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",90
4,"Высота центров над плоскими направляющими станины, мм",75
5,"Наибольшая длина заготовки, обрабатываемой в центрах (РМЦ), мм",350
6,"Наибольшая диаметр заготовки, обрабатываемой в патроне, мм",70
7,"Наибольшая диаметр сверления по стали, мм",6
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",15
10,Присоединение патрона к шпинделю. Конец шпинделя,М27х2
11,Конус Морзе шпинделя,Морзе 2
12,Число ступеней частот прямого вращения шпинделя,9
13,"Частота прямого вращения шпинделя, об/мин","200, 271, 525, 650, 1000, 1200, 1700, 2800, 3200"
14,Число ступеней частот обратного вращения шпинделя,9
15,"Частота обратного вращения шпинделя, об/мин","200, 271, 525, 650, 1000, 1200, 1700, 2800, 3200"
16,"Наибольший крутящий момент на шпинделе, Нм",12
17,Торможение шпинделя,нет
18,Блокировка рукояток,нет
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",350
21,"Перемещение суппорта продольное на одно деление лимба, мм",005
22,"Наибольшее поперечное перемещение суппорта, мм",90
23,"Перемещение суппорта поперечное на одно деление лимба, мм",005
24,Число ступеней продольных подач суппорта,6
25,"Пределы продольных рабочих подач суппорта, мм/об","0,05; 0,75; 0,1; 0,125; 0,150; 0,175"
26,"Пределы рабочих поперечных подач суппорта, мм/об",нет
27,Количество нарезаемых резьб метрических,18
28,"Пределы шагов нарезаемых резьб метрических, мм",02..25
29,Пределы шагов нарезаемых резьб дюймовых,нет
30,Пределы шагов нарезаемых резьб модульных,нет
31,Пределы шагов нарезаемых резьб питчевых,нет
32,"Высота резца, мм",8
33,Подвижная резцедержка,
34,"Наибольшее перемещение верхних (резцовых) салазок, мм",
35,"Перемещение резцовых салазок на одно деление лимба, мм",005
36,"Угол поворота резцовых салазок, град",±90°
37,Револьверная головка,
38,Количество позиций,6
39,"Диаметр базового отверстия под инструментальные державки, мм",14
40,"Рабочий ход (ручное перемещение), мм",40
41,"Установочное перемещение, мм",50
42,Задняя бабка,
43,Конус Морзе пиноли,Морзе 2
44,"Наибольшее перемещение пиноли, мм",30
45,Электрооборудование. Привод,
46,Параметры питающей сети,"220 В, 50 Гц"
47,"Электродвигатель главного привода, кВт",055
48,"Синхронная частота вращения электродвигателя главного привода, об/мин",3000
49,Габариты и масса станка,
50,"Габариты станка (длина ширина высота), мм",825 х 410 х 300
51,"Масса станка, кг",85
