index,Наименование параметра,6Н81
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-71 и ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1000 х 250
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,-
4,Наименьшее и наибольшее расстояние от оси шпинделя до стола,30..340
5,"Расстояние от оси шпинделя до хобота, мм",150
6,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",-
7,Рабочий стол,
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,"Наибольшее перемещение стола продольное от руки/ от двигателя (ось X), мм",600/ 560
10,"Наибольшее перемещение стола поперечное от руки/ от двигателя (ось Y), мм",200/ 190
11,"Наибольшее перемещение стола вертикальное от руки/ от двигателя (ось Z), мм",350/ 340
12,"Наибольший угол поворота стола, град",±45
13,"Цена одного деления шкалы поворота стола, град",1
14,"Перемещение стола на одно деление лимба (продольное, поперечное), мм",005
15,"Перемещение стола на одно деление лимба (вертикальное), мм",0025
16,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
17,"Перемещение стола на один оборот лимба вертикальное, мм",3
18,Шпиндель,
19,"Частота вращения шпинделя, об/мин",65..1800
20,Количество скоростей шпинделя,16
21,Эскиз конца шпинделя,ГОСТ 836-47
22,Конус шпинделя,45
23,Наибольший допустимый крутящий момент на шпинделе Нм,525
24,Механика станка,
25,"Быстрый ход стола продольный (ось X), м/мин",29
26,"Быстрый ход стола поперечный (ось Y), м/мин",23
27,"Быстрый ход стола вертикальный (ось Z), м/мин",115
28,Число ступеней рабочих подач стола,16
29,"Пределы рабочих подач. Продольных (ось X), мм/мин",35..980
30,"Пределы рабочих подач. Поперечных (ось Y), мм/мин",25..765
31,"Пределы рабочих подач. Вертикальных (ось Z), мм/мин",12..380
32,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
33,Блокировка ручной и механической подачи (продольной),нет
34,"Блокировка ручной и механической подачи (поперечной, вертикальной)",есть
35,Торможение шпинделя (муфта),есть
36,Предохранение от перегрузки (муфта),есть
37,Привод,
38,"Электродвигатель привода главного движения, кВт",45
39,"Электродвигатель привода подач, кВт",17
40,Электронасос охлаждающей жидкости Тип,ПА-22
41,"Электродвигатель насоса охлаждающей жидкости, кВт",012
42,"Производительность насоса СОЖ, л/мин",22
43,Габарит и масса станка,
44,"Габариты станка (длина ширина высота), мм",2060 х 1940 х 1600
45,"Масса станка, кг",2100
