index,Наименование параметра,2А53
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",35
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",400..1200
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",500..1500
7,"Рамер поверхности плиты (ширина длина), мм",
8,Рукав,
9,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",700
10,"Скорость вертикального перемещения рукава по колонне, м/мин",127
11,"Угол поворота рукава вокруг колонны, град",360
12,Зажим рукава на колонне,Автомат
13,Сверлильная головка,
14,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",800
15,Зажим головки на рукаве,Ручной
16,Шпиндель,
17,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",300
18,"Диаметр гильзы шпинделя, мм",
19,Противовес,Пружинный
20,Обозначение конца шпинделя по ГОСТ 24644-81,
21,Конус Морзе,4
22,"Частота прямого вращения шпинделя, об/мин",50..2240
23,Количество скоростей шпинделя прямого вращения,12
24,"Пределы рабочих подач на один оборот шпинделя, мм/об",006..122
25,Число ступеней рабочих подач,8
26,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
27,"Перемещение шпинделя на одно деление лимба, мм",1
28,"Перемещение шпинделя на оборот лимба, мм",122
29,"Наибольшая масса инструмента, устанавливаемого на станке, кг",15
30,"Наибольший допустимый крутящий момент, кгс*см",3750
31,"Наибольшее усилие подачи, кг",1250
32,Зажим вращения колонны,Гидр
33,Электрооборудование. Привод,
34,Количество электродвигателей на станке,4
35,"Электродвигатель привода главного движения, кВт","2,6/ 3,0"
36,"Электродвигатель привода перемещения рукава, кВт",11
37,"Электродвигатель привода гидрозажима колонны, кВт",05
38,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
39,"Суммарная мощность установленных электродвигателей, кВт",4325
40,Габариты и масса станка,
41,"Габариты станка (длина ширина высота), мм",2250 х 910 х 3070
42,"Масса станка, кг",4000
