index,Наименование параметра,7305
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",20..510
3,"Наибольшее сечение резца, мм",20 х 32
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",510
5,"Высота ползуна над рабочей поверхностью стола, мм",90..400
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",360 х 500
8,"Размеры рабочей поверхности стола - правой, мм",
9,"Размеры рабочей поверхности стола - левой, мм",
10,"Наибольшее перемещение стола от руки - горизонтальное, мм",580
11,"Наибольшее перемещение стола от руки - вертикальное, мм",310
12,"Наибольшее перемещение стола механическое - горизонтальное, мм",
13,"Наибольшее перемещение стола механическое - вертикальное, мм",-
14,Число горизонтальных подач стола,25
15,"Быстрое, горизонтальное перемещение стола, м/мин",40
16,"Горизонтальные подачи стола, мм/дв.ход",02..50
17,"Цена деления лимба, мм",01
18,Суппорт,
19,"Наибольшее вертикальное перемещение головки резца от руки, мм",170
20,"Цена деления лимба, мм",005
21,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
22,"Наибольший угол поворота доски резцедержателя, град",±15
23,"Наибольшая перестановка ползуна, мм",310
24,"Наибольшее допустимое усилие резания, Н",17650
25,Число ступеней скоростей главного привода (перемещения ползуна),8
26,Числа двойных ходов ползуна в минуту,132..150
27,Число подач суппорта,6
28,"Подачи суппорта, мм/дв.ход",0166..1
29,Электрооборудование. Привод,
30,Количество электродвигателей на станке,1
31,"Электродвигатель привода стола, кВт",55
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2310 х 1055 х 1550
34,"Масса станка, кг",1930
