index,Наименование параметра,6Р83
0,Класс точности по ГОСТ 8-82,Н
1,Рабочий стол,
2,"Максимальная нагрузка на стол (по центру), кг",300
3,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
4,Число Т-образных пазов Размеры Т-образных пазов,3
5,"Наибольшее перемещение стола продольное механическое/ ручное, мм",1000/ 1000
6,"Наибольшее перемещение стола поперечное механическое/ ручное, мм",300/ 320
7,"Наибольшее перемещение стола вертикальное механическое/ ручное, мм",340/ 350
8,"Наименьшее и наибольшее расстояние от оси шпинделя до стола при ручном перемещении, мм* При ручном перемещении и снятом нижнем ограничительном кулачке",30...380*
9,"Расстояние от оси шпинделя до хобота, мм",190
10,"Наибольший угол поворота стола, град",±45
11,"Цена одного деления шкалы поворота стола, град",1
12,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
13,"Перемещение стола на один оборот лимба продольное и поперечное, мм",6
14,"Перемещение стола на один оборот лимба вертикальное, мм",2
15,Шпиндель,
16,"Частота вращения шпинделя, об/мин","31,5 - 1600"
17,Количество скоростей шпинделя,18
18,"Наибольший крутящий момент, кгс.м",143
19,Эскиз конца шпинделя,ГОСТ 836-72
20,Конус шпинделя,50
21,Механика станка,
22,"Быстрый ход стола продольный и поперечный, м/мин",3/ 3/ 1
23,Число ступеней рабочих подач стола,18
24,"Пределы рабочих подач. Продольных и поперечных, мм/мин",25...1250
25,"Пределы рабочих подач. Вертикальных, мм/мин",83...4166
26,"Выключающие упоры подачи (продольной, поперечной, вертикальной)",есть
27,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
28,Блокировка раздельного включения подачи,есть
29,Автоматическая прерывистая подача Продольная,есть
30,Автоматическая прерывистая подача Поперечная и вертикальная,нет
31,Торможение шпинделя,есть
32,Предохранение от перегрузки (муфта),есть
33,Привод,
34,Электродвигатель привода главного движения Тип,4А132М4УЗ
35,"Электродвигатель привода главного движения Число оборотов в минуту, об/мин",1460
36,"Электродвигатель привода главного движения Мощность, кВт",11
37,Электродвигатель привода подач Тип,4А90L4УЗ
38,"Электродвигатель привода подач Число оборотов в минуту, об/мин",1430
39,"Электродвигатель привода подач Мощность, кВт",3.0
40,Электронасос охлаждающей жидкости Тип,ПА-22У2
41,"Электронасос охлаждающей жидкости Число оборотов в минуту, об/мин",2800
42,"Электронасос охлаждающей жидкости Мощность, кВт",012
43,"Производительность насоса СОЖ, л/мин",22
44,Габариты и масса станка,
45,"Габариты станка (длина х ширина х высота), мм",2560 х 2260 х 1770
46,"Масса станка, кг",3800
