index,Наименование параметра,ГД200
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольшая высота обрабатываемого изделия, мм, при обработке наружной поверхности, мм",300
3,"Наибольшая высота обрабатываемого изделия, мм, при обработке внутренней поверхности, мм",100
4,"Наибольшая масса устанавливаемой заготовки, кг",300
5,"Наибольший ход долбяка, мм",20..200
6,Пределы двойных ходов в минуту (число скоростей),"66, 101"
7,"Диаметр стола, мм",500
8,Рабочее пространство станка,
9,"Расстояние от плоскости стола до направляющих долбяка, мм",320
10,"Расстояние от долбяка до станины (вылет), мм",450
11,"Установочное регулирование хода долбяка, мм",265
12,"Наибольшее усилие резания, кН (кгс)","15,0 (1500)"
13,"Наибольшие перемещения стола продольные, мм",500
14,"Наибольшие перемещения стола поперечные, мм",400
15,"Наибольшие перемещения стола круговые, град",360°
16,"Цена деления лимба продольного перемещения, мм",005
17,"Цена деления лимба поперечного перемещения, мм",005
18,"Цена деления лимба кругового перемещения, мин",
19,"Продольное перемещение за один оборот маховика, мм",
20,"Поперечное перемещение за один оборот маховика, мм",
21,"Круговое перемещение за один оборот маховика, град",
22,"Пределы подач за один двойной ход продольные, мм (число ступеней)","0,1..1,2 (12)"
23,"Пределы подач за один двойной ход поперечные, (число ступеней) мм","0,1..1,2 (12)"
24,"Пределы подач за один двойной ход круговые, (число ступеней) град",007..08
25,"Скорость быстрого перемещения стола продольная, мм/мин",
26,"Скорость быстрого перемещения стола поперечная, мм/мин",
27,"Скорость быстрого перемещения стола круговая, град/сек",
28,"Наибольший угол наклона долбяка, град",5° от станины
29,"Наибольший угол поворота головки резцедержателя, град",
30,"Наибольшее сечение резца (высота х ширина), мм",32 х 20
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,2
33,"Электродвигатель привода главного движения, кВт (об/мин)","1,4; 2,36 (750, 1500)"
34,"Электродвигатель перемещения стола, кВт (об/мин)","1,1 (1000)"
35,"Суммарная мощность всех электродвигателей, кВт",
36,Габариты и масса станка,
37,"Габариты станка (длина ширина высота), мм",1900 х 1270 х 2175
38,"Масса станка, кг",2150
