index,Наименование параметра,1340
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,Н
2,"Точность обработки по длине, мм",
3,"Точность обработки по диаметру, класс",
4,"Наибольший диаметр обрабатываемого изделия над станиной, мм",400
5,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",200
6,"Наибольший диаметр обрабатываемого прутка, мм",40
7,"Наибольшая сторона квадрата обрабатываемого прутка, мм",27
8,"Наибольший размер ""под ключ"" обрабатываемого шестигранника, мм",32
9,"Наибольший диаметр обрабатываемого изделия в патроне, мм",200
10,"Наибольшая длина подачи прутка, мм",150
11,Подача прутка,Годравл
12,"Наибольшая длина прутка, мм",3000
13,"Наибольший диаметр обрабатываемого прутка в зажимной и подающей трубе круглого / шестигранного, мм",40/ 32
14,"Высота центров, мм",200
15,"Расстояние от торца шпинделя до револьверной головки, мм",200..630
16,"Наибольшая длина нарезаемой резьбы резьбонарезным устройством, мм",-
17,Шпиндель,
18,"Диаметр отверстия в шпинделе, мм",62
19,Количество рабочих скоростей шпинделя в двух автоматических диапазонах) - прямое вращение / обратное вращение,8/ 2
20,"Пределы чисел оборотов шпинделя пруткового исполнения: прямое вращение, об/мин",60..2000
21,"Частота вращения шпинделя в I диапазоне: прямое вращение, об/мин",60100475800
22,"Частота вращения шпинделя во II диапазоне: прямое вращение, об/мин",15026511802000
23,"Пределы чисел оборотов шпинделя пруткового исполнения: обратное вращение, об/мин",100265
24,"Пределы чисел оборотов шпинделя патронного исполнения: прямое вращение (скоростное исполнение), об/мин",
25,Конец шпинделя фланцевый по ГОСТ 12595-75,
26,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",
27,Торможение,Есть
28,Суппорт револьверной головки,
29,"Наибольшее перемещение револьверного суппорта: продольное (Z), мм/ Круговое, град",215/-
30,Число упоров,6
31,Количество продольных/ поперечных подач револьверного суппорта,12/ 8
32,"Диапазон скоростей продольных подач револьверного суппорта, мм/об",005..16
33,"Диапазон скоростей поперечных подач револьверного суппорта, мм/об",-
34,"Быстрое продольное перемещение револьверного суппорта, мм/мин",нет
35,Револьверная головка,
36,Количество инструментов в револьверной головке,6
37,"Диаметр отверстий в револьверной головке, мм",Ø 40А
38,"Диаметр расположения отверстий в револьверной головке, мм",220
39,"Продольное перемещение револьверной головки от руки, мм",215
40,"Поперечное перемещение револьверной головки, мм",-
41,"Перемещение продольное револьверной головки на одно деление лимба, мм",
42,"Перемещение поперечное револьверной головки на одно деление лимба, мм",
43,Поперечный суппорт,
44,"Расстояние от торца шпинделя до кромки резцедержки, мм",0..400
45,"Продольное перемещение поперечного суппорта от руки, мм",400
46,"Поперечное перемещение поперечного суппорта до оси шпинделя/ за ось шпинделя, мм",248/ 18
47,"Поперечное перемещение поперечного суппорта на одно деление лимба, мм",005
48,"Поперечное перемещение поперечного суппорта на один оборот лимба, мм",5
49,"Наибольшая ширина х длина державки резца поперечного суппорта, мм",16 х 25
50,"Высота опорной поверхности резца поперечного суппорта до линии центров, мм",25
51,"Быстрое продольное перемещение поперечного суппорта, мм/мин",нет
52,Число упоров,4
53,Электрооборудование станка,
54,"Количество электродвигателей на станке, кВт",3
55,"Электродвигатель главного привода, кВт (об/мин)",7 (1440)
56,"Электродвигатель ускоренных продольных перемещений револьверного суппорта, кВт (об/мин)",-
57,"Электродвигатель насоса гидропривода (зажим и подача прутка), кВт (об/мин)","1,7 (930)"
58,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
59,"Электродвигатель насоса смазки, кВт (об/мин)",-
60,"Суммарная мощность всех электродвигателей, кВт",
61,Габариты и масса станка,
62,"Габаритные размеры станка (длина, ширина, высота), мм",3250 х 1160 х 1600
63,"Масса станка, кг",2400
