index,Наименование параметра,2Е450АФ1
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",30
2,"Наибольший диаметр расточки в стали 45, мм",10..250
3,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",200..770
4,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",710
5,Рабочий стол и салазки,
6,"Рабочая поверхность стола, мм",1120 х 630
7,"Наибольшая масса обрабатываемого изделия, кг",600
8,"Наибольшее перемещение стола, мм",1000 х 630
9,"Скорость перемещения стола и салазок, мм/мин",16..7000
10,Число скоростей перемещения стола и салазок,32
11,Число Т- образных пазов на столе,7
12,Выключающие упоры стола и салазок,имеются
13,Шпиндель. Шпиндельная коробка,
14,"Частота вращения шпинделя (б/с регулирование), об/мин",10..2000
15,"Число скоростей шпинделя, об/мин",24
16,"Диаметр передней опоры шпинделя, мм",80
17,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя (ручное, механическое), мм",260
18,"Наибольшее вертикальное перемещение шпиндельной коробки (установочное), мм",310
19,"Пределы рабочих подач шпинделя, мм/мин",12..1000
20,Число рабочих подач шпинделя,30
21,Внутренний конус шпинделя,7:24
22,Наибольший конус закрепляемого инструмента,Морзе 4
23,Закрепление шпиндельной коробки на направляющих,Пневмо
24,Предохранение от перегрузки механизма подач,есть
25,"Скорость перемещения шпиндельной коробки, мм/мин",3150
26,Показатели точности станка,
27,Способ отсчета координат и размеров по экрану,оптический
28,"Цена деления растровой сетки установки координат, мм",0001
29,"Точность линейных координатных перемещений стола и салазок, мм",0006
30,"Точность межосевых расстояний отверстий образца после чистовой обработки, мм",001
31,"Точность геометрической формы отверстия: постояннство диаметра в поперечном сечении, мм",0004
32,"Точность геометрической формы отверстия: в любом сечении, мм",0006
33,"Точность геометрической формы отверстия: в любом сечении, мм",0006
34,"Шероховатость обработанной поверхности, мм",Ra 1.25
35,"Точность механизма предварительного набора координат в режиме ""Грубо"", мм",001
36,"Точность механизма предварительного набора координат в режиме ""Точно"", мм",0001
37,"Установка координат с применением УЦИ в режиме ""Грубо"" с подходом с одной стороны, мм",008
38,"Установка координат с применением УЦИ в режиме ""Точно"" с подходом с одной стороны, мм",0008
39,Привод,
40,Количество электродвигателей на станке,6
41,"Электродвигатель привода главного движения, кВт",72
42,"Электродвигатель привода перемещения гильзы шпинделя и шпиндельной коробки, кВт",075
43,"Электродвигатель привода перемещения стола и салазок, кВт",10
44,"Электродвигатель привода каретки фотодатчика, кВт",0013
45,"Электродвигатель смазки и механизма переключения скоростей, кВт",001
46,Электронасос охлаждающей жидкости Тип,0125
47,Габарит станка,
48,"Габариты станка, включая ход стола и салазок (длина х ширина х высота), мм",3600 х 3000 х 3000
49,"Масса станка, кг",9200
