index,Наименование параметра,1М557
0,Основные параметры станка,
1,"Наибольший диаметр устанавливаемого изделия, мм",120..3200
2,"Наибольшая высота обрабатываемого изделия, мм",1600
3,"Диаметр планшайбы, мм",2800
4,"Наибольшая масса устанавливаемого изделия, кг",16000
5,"Наибольшее расстояние от торца шпинделя до стола, мм",0..1850
6,"Наибольший угол конуса обработки без приспособления, град",90°
7,"Наибольший угол конуса обработки с приспособлением, град",164°
8,"Наибольшая длина обработки по конусу с наибольшим углом без приспособления, мм",800
9,"Наибольшая длина обработки по конусу с наибольшим углом с приспособлением, мм",1620
10,"Нарезаемые метрические резьбы с резьбонарезным приспособлением, мм",1..50
11,"Нарезаемые дюймовые резьбы с резьбонарезным приспособлением, число ниток на дюйм",1..12
12,Вертикальные неревольверные суппорты,
13,Количество вертикальных суппортов,2
14,"Наибольшее горизонтальное перемещение суппорта, мм",1725
15,"Наибольшее вертикальное перемещение суппрта, мм",1000
16,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
17,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
18,"Наибольший угол поворота ползуна суппорта, град",±45°
19,"Цена деления шкалы поворота ползуна суппорта, град",1°
20,"Наибольшие размеры сечения державки резца (ширина х высота), мм",40 х 60
21,"Скорость установочных перемещений, м/мин",22
22,Поперечина,
23,"Наибольшее перемещение, мм",1200
24,"Скорость перемещения, мм/мин",04
25,Выключающие упоры,есть
26,Блокировка перемещения в процессе резания,есть
27,Механика станка,
28,Число скоростей планшайбы,18
29,"Число оборотов планшайбы в минуту при прямом и обратном вращении, об/мин",18..63
30,Число подач суппортов,18
31,"Вертикальные и горизонтальные подачи суппортов, мм/об",0045..160
32,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",6700
33,"Наибольшее допускаемое усилие резания правым суппортом, кгс",4250
34,"Наибольшее допускаемое усилие резания левым суппортом, кгс",3200
35,Электрооборудование и привод станка,
36,Род тока питающей электросети,"~380 В, 50 Гц"
37,Количество электродвигателей установленных на станке,7
38,"Электродвигатель привода главного движения 1м, кВт (об/мин)",40 (1460)
39,"Электродвигатель насоса гидросистемы 2м, кВт","1,7 (930)"
40,"Электродвигатель зажима поперечины 3м, кВт","1,7 (1260)"
41,"Электродвигатель перемещения поперечины 4м, кВт",10 (730)
42,"Электродвигатель установочных перемещений левого суппорта 5м, кВт","2,8 (1275)"
43,"Электродвигатель установочных перемещений правого суппорта 6м, кВт","2,8 (1275)"
44,Габарит и масса станка,
45,"Габарит станка (длнна х ширина х высота), мм",5965 х 6265 х 4900
46,"Масса станка, т",43
