index,Наименование параметра,7Б35
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",20..500
3,"Наибольшее сечение резца, мм",20 х 32
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",640
5,"Высота ползуна над рабочей поверхностью стола, мм",90..400
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",360 х 500
8,"Размеры рабочей поверхности стола - правой, мм",375 х 380
9,"Размеры рабочей поверхности стола - левой, мм",375 х 380
10,"Наибольшее перемещение стола от руки - горизонтальное, мм",500
11,"Наибольшее перемещение стола от руки - вертикальное, мм",310
12,"Наибольшее перемещение стола механическое - горизонтальное, мм",500
13,"Наибольшее перемещение стола механическое - вертикальное, мм",-
14,Число горизонтальных подач стола,16
15,"Быстрое, горизонтальное перемещение стола, м/мин",22
16,"Горизонтальные подачи стола, мм/дв.ход",03..48
17,"Цена деления лимба, мм",01
18,Суппорт,
19,"Наибольшее вертикальное перемещение головки резца от руки, мм",170
20,"Цена деления лимба, мм",005
21,"Наибольший угол поворота резцовой головки до входа в станину, град",±60
22,"Наибольший угол поворота доски резцедержателя, град",±15
23,"Наибольшая перестановка ползуна, мм",310
24,"Наибольшее допустимое усилие резания, Н",18000
25,Число ступеней скоростей главного привода (перемещения ползуна),8
26,Числа двойных ходов ползуна в минуту,"12,5; 17,7; 25; 34,5; 49; 71; 100; 138"
27,Число подач суппорта,6
28,"Подачи суппорта, мм/дв.ход",016..1
29,Электрооборудование. Привод,
30,Количество электродвигателей на станке,1
31,"Электродвигатель привода стола, кВт",55
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2335 х 1355 х 1540
34,"Масса станка, кг",1800
