index,Наименование параметра,ТВ-16
0,Основные параметры станка,
1,Класс точности,ТУ ТВ-16-0001
2,"Наибольший диаметр заготовки над станиной, мм",160
3,"Наибольший диаметр заготовки над суппортом, мм",90
4,"Высота центров, мм",85
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
6,"Наибольшая высота держателя резца (ш х в), мм",12 х 15
7,"Высота от опорной поверхности резца до линии центров, мм",10
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",90
9,Шпиндель,
10,"Резьбовой конец шпинделя, мм",М39 х 4
11,"Диаметр стандартного патрона, мм",100
12,"Диаметр сквозного отверстия в шпинделе, мм",18
13,"Диаметр и длина переднего подшипника скольжения в шпинделе, мм",
14,"Центрирующий диаметр переднего конца шпинделя, мм",
15,"Наибольший диаметр прутка, мм",17
16,Конус отверстия шпинделя,Морзе №3
17,Число ступеней частот прямого вращения шпинделя,6
18,"Частота вращения шпинделя, об/мин",160..1600
19,Торможение шпинделя,нет
20,Блокировка рукояток,нет
21,Суппорт. Подачи,
22,"Наибольшее продольное перемещение суппорта, мм",260
23,"Перемещение суппорта продольное на одно деление лимба, мм",05
24,Ходовой винт (диаметр х шаг),
25,"Наибольшее поперечное перемещение суппорта, мм",100
26,"Перемещение суппорта поперечное на одно деление лимба, мм",005
27,Число ступеней продольных подач суппорта,18
28,"Пределы продольных рабочих подач суппорта, мм/об",001...015
29,"Пределы рабочих поперечных подач суппорта, мм/об",нет
30,Количество нарезаемых резьб метрических,18
31,"Пределы шагов нарезаемых резьб метрических, мм",02..3
32,Пределы шагов нарезаемых резьб дюймовых,нет
33,Резьбоуказатель,нет
34,Предохранение от перегрузок,есть
35,Блокировка,есть
36,Ускоренное перемещение суппорта,нет
37,Выключающие упоры,нет
38,Резцовые салазки (верхний суппорт),
39,"Наибольшее перемещение резцовых салазок, мм",100
40,"Шаг резьбы ходового винта резцовых салазок, мм",
41,"Диаметр резьбы ходового винта резцовых салазок, мм",
42,"Перемещение резцовых салазок на одно деление лимба, мм",005
43,"Перемещение резцовых салазок на один оборот лимба, мм",15
44,"Угол поворота резцовых салазок, град",±60°
45,Задняя бабка,
46,Диаметр пиноли задней бабки,
47,Конус отверстия пиноли задней бабки,Морзе №1
48,"Наибольшее перемещение пиноли, мм",65
49,"Цена деления линейки перемещение пиноли, мм",1
50,"Цена деления лимба перемещение пиноли, мм",005
51,"Поперечное перемещение задней бабки, мм",±5
52,Электрооборудование,
53,"Напряжение питающей сети, В",~380 В/ ~220 В
54,"Электродвигатель главного привода, кВт",04
55,Габариты и масса станка,
56,"Габариты станка (длина ширина высота), мм",1150 х 600 х 1200
57,"Масса станка, кг",180
