index,Наименование параметра,5Д07
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Производительность при нарезке коротких резьб, шт/ч",500
3,"Диаметр нарезания резьбы метрической, мм",10..39
4,"Шаги нарезаемой метрической резьбы, мм",
5,"Диаметр нарезания резьбы дюймовой, мм",¼..1¼
6,"Шаги нарезаемой трубной (дюймовой) резьбы, ниток на дюйм",
7,"Наибольшая длина нарезаемой резьбы, мм",320
8,"Наибольший и наименьший установочный диаметр изделия, мм",
9,"Диаметр внутреннего отверстия головки, мм",45
10,"Диаметр сквозного отверстия в шпинделе, мм",49
11,Количество скоростей шпинделя,6
12,"Пределы частоты вращения шпинделя, об/мин","63, 90, 125, 180, 250, 355"
13,Привод зажима детали,
14,Привод перемещения каретки,
15,"Длина перемещения каретки, мм",
16,Электрооборудование и привод станка,
17,Количество электродвигателей на станке,
18,"Электродвигатель привода шпинделя, кВт (об/мин)","3,0 (1420)"
19,"Электродвигатель гидропривода, кВт (об/мин)","1,1 (930)"
20,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
21,"Электродвигатель зажимного устройства, кВт",
22,"Общая установленная мощность всех электродвигателей, кВт",
23,род тока питающей сети,"50Гц, 380/220 В"
24,Габариты и масса станка,
25,"Габарит станка, мм",1500 х 725 х 1140
26,"Масса станка, кг",1150
