index,Наименование параметра,2М58-1
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",100
3,"Наибольший условный диаметр сверления в чугуне, мм",
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",500..3150
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",2650
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",1500
9,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",630
10,"Угол поворота рукава вокруг колонны, град",360
11,"Размер поверхности плиты (ширина длина), мм",
12,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
13,Шпиндель,
14,"Диаметр гильзы шпинделя, мм",
15,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 6
16,"Частота прямого вращения шпинделя, об/мин","12; 12; 15; 16; 20; 25; 31,5; 40; 50; 63; 80; 100; 125; 160; 200; 250; 315; 400; 500; 630; 800; 1000; 1250"
17,Количество скоростей шпинделя прямого вращения,22
18,"Частота обратного вращения шпинделя, об/мин",
19,Количество скоростей шпинделя обратного вращения,
20,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,063; 0,08; 0,10; 0,125; 0,16; 0,20; 0,25; 0,315; 0,40; 0,50; 0,63; 0,80; 1,25; 1,60; 2,00; 2,5; 3,15"
21,Число ступеней рабочих подач,18
22,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
23,"Перемещение шпинделя на одно деление лимба, мм",
24,"Перемещение шпинделя на оборот лимба, мм",
25,"Наибольший допустимый крутящий момент, кгс*см",280
26,"Наибольшее усилие подачи, кгс",5000
27,Зажим вращения колонны,Гидр
28,Зажим рукава на колонне,Электр
29,Зажим сверлильной головки на рукаве,Гидр
30,Электрооборудование. Привод,
31,Количество электродвигателей на станке,
32,"Электродвигатель привода главного движения, кВт",13
33,"Электродвигатель привода перемещения рукава, кВт",30
34,"Электродвигатель гидронасоса колонны, кВт",075
35,"Суммарная мощность установленных электродвигателей, кВт",
36,Габариты и масса станка,
37,"Габариты станка (длина ширина высота), мм",4850 х 1830 х 4885
38,"Масса станка, кг",18000
