index,Наименование параметра,КОРВЕТ-47
0,Основные параметры станка,
1,"Диаметр сверла, мм",3..16
2,"Размер стола, мм",200 х 200
3,"Размер опорной базы (основания), мм",340 х 210
4,"Диаметр колонны, мм",
5,"Наибольшее расстояние от торца шпинделя до стола, мм",
6,"Наибольшее расстояние от торца шпинделя до основания, мм",
7,"Расстояние от шпинделя до колонны (вылет), мм",
8,Тиски в комплекте,"3"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)","210, 300, 350, 420, 500, 540, 970, 1040, 1170, 1480, 1580, 2220 (12)"
11,"Ход шпинделя, мм",60
12,Посадка патрона,В16
13,Конус шпинделя,МТ2 Морзе
14,"Угол наклона шпинделя, град",-
15,"Горизонтальное перемещение шпинделя, мм",-
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",550
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",665 х 415 х 260
23,"Масса станка нетто/брутто, кг",29/31
