index,Наименование параметра,67К25ПФ2
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",320 х 800
3,"Размеры вертикального стола, мм",250 х 630
4,"Максимальная масса обрабатываемой детали, кг",350
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",45..595
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",10..490
7,"Вылет оси вертикального шпинделя, мм",165..485
8,"Наибольший продольный ход стола (X), мм",400
9,"Наибольший ход шпиндельной бабки (Y), мм",320
10,"Наибольший вертикальный ход стола (Z), мм",450
11,Вертикальный и горизонтальный шпиндели,
12,"Частота вращения горизонтального шпинделя, об/мин",40..2000
13,"Частота вращения вертикального шпинделя, об/мин",40..2000
14,Количество скоростей шпинделя,18
15,"Цена деления лимбов, мм",002
16,"Цена деления линеек, мм",10
17,Конус горизонтального и вертикального шпинделей,
18,"Пределы подач шпиндельной бабки, мм/мин",10..1000
19,Количество подач шпиндельной бабки,б/с
20,"Максимальное усилие подачи бабки, Н",9500
21,"Максимальный допустимый крутящий момент на шпинделе горизонтальном/ вертикальном, Нм",230/ 82
22,Зажим-отжим инструмента,Механиз
23,Вертикальная фрезерная головка,
24,"Наибольшее осевое перемещение вертикального шпинделя, мм",60
25,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90
26,"Масса вертикальной фрезерной головки, кг",70
27,Вертикальный и горизонтальный столы,
28,Количество подач стола в продольном и поперечном направлении,б/с
29,"Пределы продольных и поперечных подач стола (X. Y), мм/мин",10..1000
30,"Ускоренный ход стола, мм/мин",1800
31,"Максимальное усилие подачи стола, Н",9500
32,Угловой горизонтальный стол,
33,Число Т - образных пазов,5
34,Масса углового горизонтального стола,105
35,Угловой универсальный стол,
36,"Размеры горизонтального универсального стола, мм",200 х 630
37,"Наибольший угол поворота в горизонтальной плоскости, град",±20
38,"Наклон длинной стороны, град",±45
39,"Наклон короткой стороны, град",±30
40,Масса углового горизонтального стола,55
41,Стол круглый горизонтально-вертикальный,
42,"Диаметр планшайбы стола, мм",250
43,"Габаритные размеры, мм",338 х 485 х 140
44,Масса круглого стола,60
45,Привод и электрооборудование станка,
46,Количество электродвигателей на станке,4
47,"Электродвигатель главного привода, кВт",3
48,"Электродвигатель привода подач, кВт",13
49,"Электродвигатель смазки и зажима инструмента и направляющих, кВт",055
50,"Электродвигатель привода насоса охлаждения, кВт",012
51,"Суммарная мощность электродвигателей, кВт",497
52,Габариты и масса станка,
53,"Габариты станка (длина х ширина х высота), мм",1685 х 1655 х 1865
54,"Масса станка, кг",1350
