index,Наименование параметра,1А64
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",800
3,"Наибольший диаметр заготовки над суппортом, мм",450
4,"Наибольшая длина заготовки (РМЦ), мм",2800
5,"Наибольшая масса заготовки в центрах, кг",5000
6,Шпидель,
7,"Диаметр сквозного отверстия в шпинделе, мм",85
8,"Наибольший диаметр обрабатываемого прутка, мм",80
9,Торможение шпинделя,Имеется
10,"Наибольший крутящий момент на шпинделе, кН/м",
11,Число ступеней частот прямого вращения шпинделя,24
12,"Частота прямого вращения шпинделя, об/мин",71..750
13,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
14,Конец шпинделя по ГОСТ 12595-72,1-11М
15,Суппорт. Подачи,
16,"Наибольшее продольное перемещение суппорта, мм",2520
17,"Наибольшее поперечное перемещение суппорта, мм",600
18,"Цена деления лимба при продольном перемещении, мм",01
19,"Цена деления лимба при поперечном перемещении, мм",005
20,"Наибольшее продольное перемещение на оборот лимба, мм",50
21,"Наибольшее поперечное перемещение на оборот лимба, мм",6
22,Число ступеней продольных подач суппорта,32
23,"Пределы продольных рабочих подач суппорта, мм/об",020..305
24,Число ступеней поперечных подач суппорта,32
25,"Пределы поперечных рабочих подач суппорта, мм/об",007..104
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",216
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",0735
28,Количество нарезаемых резьб метрических,
29,"Пределы шагов нарезаемых резьб метрических, мм",1..120
30,Количество нарезаемых резьб дюймовых,
31,Пределы шагов нарезаемых резьб дюймовых,28..025
32,Количество нарезаемых резьб модульных,
33,Пределы шагов нарезаемых резьб модульных,05..30
34,Количество нарезаемых резьб питчевых,
35,Пределы шагов нарезаемых резьб питчевых,нет
36,"Наибольшее продольное/ поперечное усилие резания, кН",120/ 78
37,Резцовые салазки,
38,Количество позиций для инструмента в резцедержателе,4
39,"Наибольшее перемещение резцовых салазок, мм",240
40,"Высота хвостовика резца, установленного в резцедержателе, мм",50
41,"Цена одного деления лимба, мм",005
42,"Пределы рабочих подач резцовых салазок, мм/об",
43,"Скорость быстрых перемещений резцовых салазок, м/мин",
44,"Наибольший угол поворота резцовых салазок, град",±90°
45,Задняя бабка,
46,"Наибольшее перемещение пиноли, мм",
47,Центр пиноли,
48,"Цена одного деления линейки пиноли, мм",
49,"Перемещение пиноли за один оборот маховика, мм",
50,"Наибольшее поперечное смещение задней бабки, мм",
51,Электрооборудование,
52,Количество электродвигателей на станке,4
53,"Мощность электродвигателя главного привода, кВт",17
54,"Мощность электродвигателя быстрого хода, кВт",15
55,"Мощность электродвигателя насоса смазки, кВт",012
56,"Мощность электродвигателя насоса охлаждения, кВт",0125
57,Насос охлаждения (помпа),ПА-22
58,"Габариты станка, мм",5825 х 2000 х 1660
59,"Масса станка, кг",11400
