index,Наименование параметра,3В642
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий в центрах (длина х диаметр), мм",630 х 250
3,"Расстояние между центрами универсальной и задней бабок, мм",550
4,"Расстояние между осью шлифовального круга и линией центров в горизонтальной плоскости, мм",70..300
5,"Расстояние между осью шлифовального круга и линией центров в вертикальной плоскости, мм",65..185
6,Рабочий стол станка,
7,"Размеры рабочей поверхности стола по ГОСТ 6569-75 (длина х ширина), мм",1900 х 140
8,"Наибольшее продольное/ поперечное ручное перемещение стола, мм",450/ 230
9,"Перемещение продольное/ поперечное стола на одно деление лимба, мм","0,1/ 0,01"
10,"Перемещение поперечное стола на одно деление тонкой подачи, мм",00025
11,"Угол поворота стола в горизонтальной плоскости, град",±45
12,Бабка шлифовальная,
13,"Наибольшее вертикальное перемещение бабки, мм",250
14,"Цена деления лимба подачи вертикального перемещения стола, мм",0005
15,"Угол поворота бабки в горизонтальной плоскости, град",350
16,Шлифовальная головка,
17,"Число оборотов заточного круга при ступенчатом регулировании, об/мин","2240, 3150, 4500, 6300"
18,Конец шлифовального шпинделя по ГОСТ 2324-77 исполнение 2,Морзе 3
19,"Наибольший диаметр устанавливаемого шлифовального круга, мм",200
20,"Наибольший диаметр устанавливаемого шлифовального круга других типов, мм",150
21,Универсальная головка,
22,Размер внутренних конусов шпинделей,Морзе 5
23,"Угол поворота в горизонтальной и вертикальной областях, град",360
24,Электрооборудование и привод станка,
25,Количество электродвигателей на станке,4
26,"Электродвигатель привода шпинделя шлифовальных кругов, кВт","1,5/ 1,1"
27,"Электродвигатель привода изделия, кВт",025
28,"Электродвигатель насоса охлаждения, кВт",0125
29,"Электродвигатель пылесоса, кВт",0125
30,"Общая установленная мощность всех электродвигателей, кВт",1795
31,род тока питающей сети,"50Гц, 380/220 В"
32,Габариты и масса станка,
33,"Габарит станка, мм",2050 х 1820 х 1550
34,"Масса станка, кг",1250
