index,Наименование параметра,МА-655 А7
0,Основные параметры станка,
1,Класс точности по ГОСТ 9726-72 и ГОСТ 8-82,н
2,"Размеры поверхности стола, мм",500 х 1250
3,"Высота поверхности стола над полом, мм",900
4,"Расстояние от торца шпинделя до поверхности стола, мм",160…790
5,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",560
6,"Наибольшее перемещение в следящем режиме (продольное стола X/ поперечное салазок Y/ вертикальное фрезерной головки Z), мм",1000/ 500/ 630
7,"Пределы рабочих подач, мм/мин",5…2400
8,"Скорости быстрых перемещений, мм/мин.",4800
9,"Наибольшая масса обрабатываемой детали, кг",
10,"Точность позиционирования стола по координатам Х, Y, мм","±0,02"
11,"Точность обработки деталей по контуру, мм","±0,05"
12,"Шероховатость поверхности при обработке деталей по ГОСТ 2789-73, мм","Rz=20; Rа=2,5"
13,Шпиндель. Бабка шпиндельная,
14,"Диаметр шпинделя по нижним подшипникам, мм",
15,"Частота вращения шпинделя, об/мин",20…2500
16,Число диапазонов скоростей шпинделя,6
17,Ход гильзы шпинделя,
18,"Наибольший крутящий момент на шпинделе, Нм (кгс*м)",750 (75)
19,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, Н (кгс)",750 (75)
20,Конус отверстия шпинделя по ГОСТ 15945-70,7:24
21,Конец шпинделя,
22,Рабочий стол,
23,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",5..1500
24,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",5..1500
25,"Скорость быстрых перемещений стола продольных и поперечных, м/мин",4800
26,Магазин инструмента,
27,Количество инструментов в магазине,8
28,Электрооборудование и привод станка,
29,Штатная система ЧПУ (1982 год),NC-210
30,Штатная гидростанция,"ЗАМПГ48-83, 8Г12-22/АО2-42-6"
31,Количество электродвигателей на станке,7
32,"Электродвигатель привода главного движения, кВт",110
33,"Электродвигатель насоса гидростанции, кВт",40
34,"Электродвигатель приводов подач стола и бабки (X, Y, Z), Нм/ об/мин",35/ 2000
35,"Электродвигатель насоса смазки направляющих стола и салазок, кВт",0018
36,"Электродвигатель насоса охлаждения, кВт",0125
37,Габаритные размеры и масса станка,
38,"Габаритные размеры (длина х ширина х высота), мм",2360 х 2660 х 3680
39,"Масса станка, кг",10000
