index,Наименование параметра,6А54
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",650 х 2200
2,"Расстояние от торца шпинделя до поверхности стола, мм",
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",630
4,"Наибольшее перемещение стола в продольном направлении, мм",2250
5,"Наибольшее перемещение стола в поперечном направлении, мм",
6,"Вертикальное перемещение бабки, мм",
7,"Наибольшая масса обрабатываемой детали, кг",
8,Шпиндель. Бабка шпиндельная,
9,"Диаметр шпинделя по нижним подшипникам, мм",
10,"Частота вращения шпинделя, об/мин",40..1250
11,Количество скоростей шпинделя,16
12,Ход гильзы шпинделя,
13,"Скорость подачи бабки, мм/мин",166..533
14,"Скорость установочного вертикального перемещения бабки, м/мин",077
15,"Наибольший крутящий момент на шпинделе, кгс*м",
16,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",
17,"Наибольший угол поворота шпиндельной бабки, град",
18,"Цена деления шкалы поворота шпиндельной бабки, мин",
19,Конус отверстия шпинделя,
20,Конец шпинделя,
21,Рабочий стол,
22,"Цена деления лимба поперечного перемещения, мм",
23,"Цена деления лимба продольного перемещения, мм",
24,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",50..1600
25,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",25..800
26,"Скорость быстрых перемещений стола продольных и поперечных, м/мин","2,3/ 1,15"
27,"Наибольшее усилие резания, допускаемое механизмом подачи стола, продольное, кгс",
28,"Наибольшее усилие резания, допускаемое механизмом подачи стола, поперечное, кгс",
29,Электрооборудование и привод станка,
30,Количество электродвигателей на станке,
31,"Электродвигатель привода главного движения, кВт (об/мин)",37 (1460)
32,"Электродвигатель постоянного тока привода подач стола и бабки, кВт (об/мин)","4,2 (1470)"
33,"Электродвигатель привода быстрого перемещения стола и бабки, кВт (об/мин)",6 (1470)
34,"Электродвигатель насоса смазки, кВт",
35,"Электродвигатель насоса охлаждения, кВт",
36,"Суммарная мощность установленных на станке электродвигателей, кВт",
37,Габаритные размеры и масса станка,
38,"Габаритные размеры (длина х ширина х высота), мм",
39,"Масса станка, кг",
