index,Наименование параметра,3Д711ВФ11
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры устанавливаемой заготовки (длина х ширина х высота), мм",990 х 280 х 400
3,"Наибольшие размеры обрабатываемой заготовки (длина х ширина х высота), мм",630 х 280 х 400
4,"Наибольшая высота обрабатываемых изделий при наибольшем диаметре шлифовального круга, мм",400
5,"Наибольшая высота обрабатываемых изделий при наименьшем диаметре шлифовального круга, мм",470
6,"Расстояние от оси шпинделя до зеркала стола, мм",550
7,"Наибольшая масса обрабатываемых изделий с плитой, кг",220
8,"Точностные параметры, максимально достигаемые на образце-изделии",
9,"Размер образца-изделия, мм",
10,"плоскостность, мкм",
11,"параллельность, мкм",
12,"шероховатость поверхности, обработанной периферией шлифовального круга, Ra",
13,"Перпендикулярность траектории поперечного перемещения стола к направлению его продольного перемещения, мкм",
14,Рабочий стол станка,
15,"Размеры установочной поверхности стола (длина х ширина), мм",990 х 200
16,"Размеры рабочей поверхности стола (длина х ширина), мм",630 х 200
17,"Наибольшее ручное продольное перемещение стола, мм",700
18,"Наибольшее продольное перемещение стола от гидроцилиндра, мм",70..670
19,"Скорость продольного перемещения стола (бесступенчатое регулирование), м/мин",2..35
20,Суппорт стола. Механизм поперечной подачи стола,
21,"Наибольшее ручное поперечное перемещение суппорта стола/ автоматическое, мм",250/ 245
22,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",03..40
23,"Скорость непрерывных перемещений шлифовальной головки, м/мин",015..03
24,Шлифовальная бабка. Шлифовальный круг,
25,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",400
26,"Дискретность задания вертикального перемещения, мм",-
27,"Цифровая индикация вертикального перемещения на длине (шаг 0,001) - наименьшее (наибольшее) , мм",0..0999
28,"Цифровая индикация поперечного перемещения на длине, мм",-
29,"Отскок шлифовального круга после окончания цикла (наибольший/ наименьший/ дискретность), мм","0,1..0,9 шаг 0,1"
30,"Ускоренное вертикальное перемещение шлифовальной бабки, м/мин",03
31,"Ускоренное перемещение крестового суппорта стола, м/мин",214
32,"Размеры шлифовального круга (D x d x h), мм",300 х 76 х 40..63
33,"Диаметр конца шлифовального шпинделя, мм",40
34,Число оборотов шлифовального круга в минуту,2230
35,"Наибольшая (наименьшая) скорость резания (окружная скорость шлифовального круга), м/с","35 (22,5)"
36,"Цена деления лимба маховика вертикального перемещения, мм",
37,"Цена деления лимба тонкой вертикальной подачи, мм",
38,"Автоматическая подача вертикального перемещения (ступенчатая черновая с шагом 0,01), мм",001..009
39,"Автоматическая подача вертикального перемещения (ступенчатая чистовая с шагом 0,001), мм",0001..0009
40,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,002), мм",-
41,Электрооборудование и привод станка,
42,Количество электродвигателей на станке,8
43,"Электродвигатель привода шпинделя шлифовального круга, кВт (об/мин)",4 (1500)
44,"Электродвигатель гидропривода стола, кВт","2,2 (1500)"
45,"Электродвигатель привода вертикальной подачи, Н*м",5
46,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт (об/мин)","0,37 (1500)"
47,"Электродвигатель привода поперечной подачи, кВт (об/мин)","0,12 (1500)"
48,"Электродвигатель вентилятора охлаждения масла в гидростанции, кВт (об/мин)",
49,"Электродвигатель вентилятора охлаждения электрошкафа, кВт (об/мин)","0,018 (1500)"
50,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,15 (3000)"
51,"Электродвигатель магнитного сепаратора в комплекте с агрегатом, кВт","0,09 (1500)"
52,"Электродвигатель привода механизма правки, кВт",-
53,"Общая установленная мощность всех электродвигателей, кВт",698
54,род тока питающей сети,"50Гц, 380 В"
55,Габариты и масса станка,
56,"Габарит станка (длина х ширина х высота), мм",2595 х 1775 х 2035
57,"Масса станка, кг",2950
