index,Наименование параметра,2А430
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82Е,А
2,"Наибольший диаметр сверления в стали 45, мм",16
3,"Наибольший диаметр рассверливания, мм",60
4,"Наибольший диаметр растачивания, мм",
5,"Наибольший диаметр фрезы при фрезеровании, мм",
6,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",100..425
7,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",310
8,Стол,
9,"Рабочая поверхность стола, мм",180 х 560
10,"Наибольшее продольное перемещение стола, мм",400
11,"Наибольшее поперечное перемещение стола, мм",250
12,"Наибольшая масса обрабатываемого изделия, кг",110
13,Число Т- образных пазов на столе,4
14,Количество подач стола,3
15,"Величина ускоренного перемещения стола, мм/мин",1100
16,"Пределы рабочих подач при фрезеровании, мм/мин",28..134
17,"Цена деления растровой сетки установки координат, мм",
18,"Цена деления лимбов продольного и поперечного перемещения, мм",001
19,"Цена деления нониусов продольного и поперечного перемещения, мм",0001
20,"Цена деления оптического отсчетного устройства станка 2431с, мм",-
21,"Дискретность отсчета блока УЦИ станка 2431сф10, мм",-
22,"Точность установки координат, мм",
23,Шпиндель,
24,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя ручное, мм",150
25,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя механическое, мм",145
26,"Диаметр передней опоры шпинделя, мм",
27,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",175
28,"Скорость перемещения шпиндельной бабки (головки), мм/мин",-
29,Количество скоростей шпинделя,6
30,"Частота вращения шпинделя, об/мин",145..2900
31,Количество подач шпинделя,6
32,Внутренний конус шпинделя,
33,Наибольший конус закрепляемого инструмента,Морзе 2
34,Закрепление шпиндельной коробки на направляющих,ручное
35,Предохранение от перегрузки механизма подач,
36,"Пределы рабочих подач на один оборот шпинделя, мм/об",0025..025
37,"Максимальный момент на шпинделе, Н*м",
38,Привод,
39,Количество электродвигателей на станке,3
40,"Электродвигатель привода главного движения, кВт (об/мин)","0,8; 1,8; 2,0 (700, 1400, 2800)"
41,"Привод перемещения стола, кВт","0,27 (1400)"
42,"Привод перемещения салазок. Мощность, кВт (об/мин)",-
43,"Привод перемещения шпиндельной головки. Мощность, кВт (об/мин)",-
44,"Привод зажима отжима стола, кВт",-
45,"Привод зажима отжима салазок, кВт",-
46,Электронасос охлаждающей жидкости Тип,ПА-22
47,Габарит станка,
48,"Габариты станка, включая ход стола и салазок, мм",1340 х 1500 х 2025
49,"Масса станка, кг",2330
