index,Наименование параметра,737
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",150..900
3,"Наибольшее сечение резца, мм",
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",
5,"Высота ползуна над рабочей поверхностью стола, мм",
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",450 х 900
8,"Наибольшее продольное горизонтальное перемещение стола, мм",850
9,"Наибольшее вертикальное перемещение стола, мм",320
10,"Пределы горизонтальных (поперечных) подач стола, мм/дв.ход",02..50
11,"Быстрое, горизонтальное перемещение стола, м/мин",258
12,"Быстрое вертикальное перемещение стола, м/мин",0139
13,"Цена деления лимба горизонтального перемещения, мм",
14,"Цена деления лимба вертикального перемещения, мм",
15,Ползун. Суппорт,
16,"Наибольшее вертикальное перемещение салазок суппорта (головки резца) от руки, мм",200
17,"Цена деления лимба, мм",
18,"Размеры окна резцедержателя, мм",
19,"Наибольший угол поворота резцовой головки до входа в станину, град",±60°
20,"Наибольший угол поворота доски резцедержателя, град",
21,"Наибольшее допустимое усилие резания, кН",
22,Число ступеней скоростей главного привода (перемещения ползуна),
23,Числа двойных ходов ползуна в минуту,
24,"Диапазон скоростей ползуна суппорта, мм/мин",3..37
25,Число подач суппорта,
26,"Подачи суппорта, мм/дв.ход",
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,
29,"Электродвигатель главного движения, кВт (об/мин)",91
30,"Электродвигатель быстрых перемещений стола, кВт",1
31,Габариты и масса станка,
32,"Габариты станка (длина ширина высота), мм",
33,"Масса станка, кг",
