index,Наименование параметра,1К625
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",500
3,"Наибольший диаметр заготовки над суппортом, мм",260
4,"Наибольшая длина заготовки (РМЦ), мм","1000, 1400, 2000"
5,"Наибольшая длина обтачивания, мм","925, 1325, 1920"
6,"Расстояние от линии центров до плоской направляющей станины (Высота центров), мм",240
7,"Расстояние от линии центров до кромки резцедержателя, мм",268
8,"Наибольшая масса заготовки в патроне, кг",
9,"Наибольшая масса заготовки в центрах, кг",
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",47
12,"Наибольший диаметр прутка, мм",45
13,Число ступеней частот прямого вращения шпинделя,24
14,"Частота прямого вращения шпинделя, об/мин (число скоростей)","12,5..2000 (24)"
15,Число ступеней частот обратного вращения шпинделя,12
16,"Частота обратного вращения шпинделя, об/мин",19..2420
17,"Размер внутреннего конуса в шпинделе, М",Морзе 6
18,Конец шпинделя по ГОСТ 12593-72,6К
19,Коробка подач. Суппорт,
20,"Наибольшая длина хода каретки, мм","930, 1330, 1920"
21,"Наибольший поперечный ход суппорта, мм",350
22,Число ступеней продольных подач,49
23,"Пределы продольных рабочих подач суппорта, мм/об","0,07..4,16 (49)"
24,Число ступеней поперечных подач,49
25,"Пределы рабочих подач поперечных, мм/об","0,035..2,08 (49)"
26,"Скорость быстрых перемещений суппорта, продольных, м/мин",34
27,"Скорость быстрых перемещений суппорта, поперечных, м/мин",17
28,Количество нарезаемых резьб метрических,44
29,"Пределы шагов нарезаемых резьб метрических, мм (число резьб)",1..192
30,Количество нарезаемых резьб дюймовых,38
31,"Пределы шагов нарезаемых резьб дюймовых, число ниток на дюйм (число резьб)",24..2 (38)
32,Количество нарезаемых резьб модульных,20
33,"Пределы шагов нарезаемых резьб модульных, модуль (число резьб)","0,5..48 (20)"
34,Количество нарезаемых резьб питчевых,37
35,"Пределы шагов нарезаемых резьб питчевых, питч (число резьб)",96..1 (37)
36,Резцовые салазки (верхний суппорт),
37,Число резцов в резцедержателе,4
38,"Высота от опорной поверхности резцов до линии центров, мм",30
39,"Наибольшие размеры державки резца, мм",30 × 30
40,"Наибольший угол поворота, град",±90°
41,"Цена деления шкалы поворота, град",1°
42,"Наибольший ход резцовых салазок (верхнего суппорта), мм",160
43,"Цена деления лимба, мм",005
44,Задняя бабка,
45,Посадочный конус в пиноли,Морзе 5
46,"Наибольшее перемещение пиноли, мм",200
47,"Цена деления лимба перемещения пиноли, мм",005
48,"Наибольшее поперечное смещение бабки, мм",±15
49,Электрооборудование,
50,Количество электродвигателей на станке,4
51,"Мощность электродвигателя главного привода, кВт",10
52,Тип электродвигателя главного привода,АО2-52-4Ф
53,"Мощность электродвигателя быстрых перемещений, кВт",08
54,Тип электродвигателя быстрых перемещений,АОЛ2-12-4Ф
55,"Мощность электродвигателя гидростанции, кВт",11
56,Тип электродвигателя гидростанции,АОЛ2-22-6Ф
57,"Мощность электродвигателя насоса охлаждения, кВт",0125
58,Насос охлаждения (помпа),ПА-22
59,Габариты и масса станка,
60,"Габариты станка (длина ширина высота) (РМЦ = 1000), мм",3212 × 1216 × 1349
61,"Масса станка (РМЦ = 1000), кг",2410
