index,Наименование параметра,16Б20П
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Высота оси центров над плоскими направляющими станины, мм",215
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",220
5,"Наибольшая длина детали, устанавливаемой в центрах (РМЦ), мм",1000
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",225
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",
8,"Наибольшая масса детали, обрабатываемой в центрах, кг",
9,"Наибольшая масса детали, обрабатываемой в патроне, кг",
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",52
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
13,"Частота вращения шпинделя в прямом направлении (в зависимости от комплекта шкивов главного двигателя), об/мин",16..1600125..1250100..2000
14,"Частота вращения шпинделя в обратном направлении, об/мин",
15,Количество прямых скоростей шпинделя,22
16,Количество обратных скоростей шпинделя,
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 6
19,"Диаметр фланца шпинделя, мм",170
20,"Наибольший крутящий момент на шпинделе, Нм",
21,Суппорт. Подачи,
22,"Наибольшая длина продольного перемещения, мм",930
23,"Наибольшая длина поперечного перемещения, мм",250
24,"Скорость быстрых продольных перемещений, м/мин",40
25,"Скорость быстрых поперечных перемещений, м/мин",20
26,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",
27,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",
28,"Цена деления лимба продольного перемещения, мм",1
29,"Цена деления лимба поперечного перемещения, мм",005
30,"Диапазон продольных подач, мм/об",005..28
31,"Диапазон поперечных подач, мм/об",0025..14
32,Количество подач продольных/ поперечных,22/24
33,"Пределы шагов метрических резьб, мм",05..112
34,"Пределы шагов дюймовых резьб, ниток/дюйм",56..025
35,"Пределы шагов модульных резьб, модуль",05..112
36,"Пределы шагов питчевых резьб, питч диаметральный",56..025
37,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",
38,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",
39,Резцовые салазки,
40,"Наибольшая длина перемещения резцовых салазок, мм",150
41,"Перемещение резцовых салазок на одно деление лимба, мм",005
42,"Шкала угла поворота резцовых салазок, град",±90°
43,"Цена деления шкалы поворота резцовых салазок, град",1°
44,"Наибольшее сечение державки резца, мм",25 х 25
45,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
46,Число резцов в резцовой головке,4
47,Задняя бабка,
48,"Диаметр пиноли, мм",
49,Конус отверстия пиноли задней бабки по ГОСТ 2847-67,Морзе 5
50,"Наибольшее перемещение пиноли, мм",200
51,"Перемещение пиноли на одно деление лимба, мм",5
52,"Величина поперечного смещения корпуса бабки, мм",±15
53,Электрооборудование,
54,"Электродвигатель главного привода, кВт","4,1/ 6,6"
55,"Электродвигатель привода быстрых перемещений, кВт",06
56,"Электродвигатель привода насоса смазки, кВт",027
57,"Электродвигатель насоса СОЖ, кВт",0125
58,Габариты и масса станка,
59,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2595 х 1405 х 1115
60,"Масса станка, кг",2050
