index,Наименование параметра,МР-75М
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Пределы длины обрабатываемых деталей, мм:",500..2250
3,"Пределы диаметров устанавливаемых в тисках деталей, мм:",25..125
4,"Наибольшее усилие зажима детали, Н",
5,"Высота центров над станиной, мм",315
6,"Высота центров над полом, мм",1040
7,Сверлильные головки,
8,"Наибольший поперечный общий ход, мм",220
9,Количество скоростей фрезерного шпинделя: об/мин,6
10,Пределы частот вращения фрезерного шпинделя: об/мин,125..712
11,"Пределы подач фрезерного шпинделя, мм/мин",20..400
12,"Наибольший диаметр устанавливаемой фрезы, мм",90..160
13,"Ускоренный ход продольный, м/мин",
14,"Ускоренный ход поперечный, м/мин",
15,Диаметр и конус отверстия под фрезу,
16,"Наибольший диаметр фрезерования, мм",
17,Сверлильные головки,
18,"Ход пиноли сверлильного шпинделя, мм",
19,"Наибольший поперечный общий ход, мм",75
20,Количество скоростей сверлильного шпинделя: об/мин,6
21,Пределы частот вращения сверлильного шпинделя: об/мин,238..1125
22,"Пределы подач сверлильного шпинделя, мм/мин",20..300
23,"Пределы диаметров устанавливаемых центровок, мм",3 х 126 х 22
24,"Диаметр отверстия под сверло, мм",50
25,"Наибольший диаметр сверления, мм",
26,Электрооборудование. Привод,
27,"Питающая электросеть, В",380±38
28,Количество электродвигателей на станке,6
29,"Электродвигатель привода фрезерных головок, кВт (об/мин)","7,5; 10 (1450)"
30,"Электродвигатель привода сверлильных головок, кВт (об/мин)","2,2; 3 (1430)"
31,"Электродвигатель привода гидронасоса, кВт (об/мин)","5,5 (970)"
32,"Электродвигатель привода станции смазки, кВт (об/мин)",-
33,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,12 (2800)"
34,"Электродвигатель транспортера стружки, кВт (об/мин)",-
35,"Суммарная мощность установленных электродвигателей, кВт",3162
36,Габариты и масса станка,
37,"Габариты станка (длина ширина высота), мм",4825 х 1630 х 1740
38,"Масса станка, кг",7800
