index,Наименование параметра,7414
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший ход долбяка, мм",1600
3,"Наименьший ход долбяка, мм",
4,"Расстояние от плоскости стола до нижнего конца направляющих долбяка, мм",800..1600
5,"Наибольшее расстояние от нижнего конца направляющих долбяка до торца долбяка, мм",800
6,"Расстояние от долбяка до станины (вылет), мм",1400
7,"Наибольшая высота обрабатываемого изделия при обработке наружной поверхности, мм",
8,"Наибольшая высота обрабатываемого изделия при обработке внутренней поверхности, мм",
9,"Наибольшая масса обрабатываемого изделия, кг",12000
10,Долбежная головка станка (долбяк),
11,"Наибольшее перемещение долбяка в пределах рабочей зоны, мм",
12,"Наибольший угол поворота долбяка в направлении продольной подачи, град",±10°
13,"Наибольшее сечение резца, мм",63 х 40
14,"Скорость долбяка под нагрузкой, м/мин",2..30
15,"Скорость долбяка при обратном ходе, м/мин",2..40
16,"Наибольшее усилие резания, кгс",6000
17,Рабочий стол станка,
18,"Диаметр рабочей поверхности стола, мм",1600
19,"Наибольшие перемещения стола продольные (по направляющим станины), мм",1800
20,"Наибольшие перемещения стола поперечные (по направляющим салазок), мм",1250
21,"Наибольшие перемещения стола круговые, град",360°
22,"Цена деления лимба при продольном и поперечном перемещении стола, мм",
23,"Перемещение стола за оборот лимба при продольном и поперечном перемещении стола, мм",
24,"Цена деления лимба при круговом перемещении стола, град",
25,"Перемещение стола за оборот лимба при круговом перемещении стола, град",
26,"Пределы подач за один двойной ход продольные, мм/дв.ход",02..10
27,"Пределы подач за один двойной ход поперечные, мм",02..10
28,"Пределы подач за один двойной ход круговые, град",
29,"Скорость быстрого перемещения стола продольная, мм/мин",10..1600
30,"Скорость быстрого перемещения стола поперечная, мм/мин",
31,"Скорость быстрого перемещения стола круговая, об/мин",
32,Электрооборудование. Привод,
33,Количество электродвигателей на станке,
34,"Электродвигатель гидропривода (главного движения), кВт (об/мин)",42(1500)
35,"Электродвигатель привода перемещения стола в продольном и поперечном направлении, кВт (об/мин)","4,8 х 2 (1500)"
36,"Электродвигатель привода перемещения стола в круговом направлении, кВт (об/мин)","2,8 (1500)"
37,"Электродвигатель привода перемещения долбежной головки, кВт (об/мин)","5,2 (1350)"
38,"Электродвигатель привода насоса смазки долбежной головки, кВт (об/мин)","0,27 (1440)"
39,"Электродвигатель привода перемещения пульта, кВт (об/мин)","0,4 (1410)"
40,"Электродвигатель привода насосной установки, кВт (об/мин)","1,5 (950)"
41,"Электродвигатель привода генератора, кВт (об/мин)",30 (1460)
42,"Генератор питания электродвигателя привода долбяка, кВт (об/мин)",50 (1450)
43,"Электромашинный усилитель питания обмоток возбуждения генератора, кВт (об/мин)",2 (3000)
44,"Электромашинный усилитель привода стола, кВт (об/мин)",7 (2920)
45,"Мощность преобразовательных агрегатов, кВт",
46,"Суммарная мощность всех электродвигателей, кВт",
47,Габариты и масса станка,
48,"Габариты станка (длина ширина высота), мм",7000 х 5100 х 6500
49,"Масса станка, кг",38000
