index,Наименование параметра,1А425
0,Основные параметры станка,
1,Основные параметры станка,
2,Класс точности по ГОСТ 8-82,Н
3,"Наибольший диаметр обрабатываемого изделия, мм",250
4,"Наибольшая длина обрабатываемого изделия, мм",175
5,"Расстояние от торца шпинделя до грани револьверной головки, мм",365..610
6,"Расстояние от оси шпинделя до грани поперечного суппорта, мм",
7,Шпиндель,
8,"Диаметр отверстия в шпинделе, мм",40
9,Количество рабочих скоростей шпинделя,16
10,"Пределы чисел оборотов шпинделя, об/мин (число диапазонов)",50..1250 (4)
11,"Переключение чисел оборотов шпинделя в пределах диапазона, об/мин",автомат
12,"Диаметр зажимного патрона, мм",
13,Конец шпинделя,
14,Суппорты,
15,Количество упоров револьверного суппорта,
16,"Величина регулировки упорами, мм",
17,"Быстрое перемещение, м/мин",
18,"Подачи продольного револьверного суппорта, мм/мин",15..300
19,Переключение подач продольного револьверного суппорта,автомат
20,"Количество инструментов револьверного суппорта, мм/мин",4
21,Количество упоров вертикального и горизонтального суппорта,
22,"Величина регулировки упором, мм",
23,"Быстрое перемещение, м/мин",
24,"Подачи поперечного вертикального и горизонтального суппорта, мм/мин",15..200
25,Переключение подач продольного вертикального и горизонтального суппорта,Установочноое
26,Электрооборудование станка,
27,"Количество электродвигателей на станке, кВт (об/мин)",3
28,"Электродвигатель главного привода, кВт (об/мин)","7,5 (1450)"
29,"Электродвигатель гидропривода, кВт (об/мин)",3 (1430)
30,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (3000)"
31,"Электродвигатель шнекового транспортера, кВт (об/мин)",-
32,Габариты и масса станка,
33,"Габаритные размеры станка (длина, ширина, высота), мм",2570 х 1650 х 2150
34,"Масса станка, кг",4850
