index,Наименование параметра,654
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",630 х 1600
2,"Расстояние от торца шпинделя до поверхности стола, мм",100..750
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",640
4,"Наибольшее перемещение стола в продольном направлении, мм",1250
5,"Наибольшее перемещение стола в поперечном направлении, мм",600
6,"Вертикальное перемещение бабки, мм",650
7,"Наибольшая масса обрабатываемой детали, кг",2000
8,Шпиндель. Бабка шпиндельная,
9,"Диаметр шпинделя по нижним подшипникам, мм",
10,"Частота вращения шпинделя, об/мин",25..1250
11,Количество скоростей шпинделя,18
12,Ход гильзы шпинделя,100
13,"Скорость подачи бабки, мм/мин",4..480
14,"Скорость установочного вертикального перемещения бабки, м/мин",08
15,"Наибольший крутящий момент на шпинделе, кгс*м",214
16,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",1500
17,"Наибольший угол поворота шпиндельной бабки, град",±30°
18,"Цена деления шкалы поворота шпиндельной бабки, мин",30
19,Конус отверстия шпинделя,Морзе 3
20,Конец шпинделя,№3 ГОСТ 836-62
21,Рабочий стол,
22,"Цена деления лимба поперечного перемещения, мм",005
23,"Цена деления лимба продольного перемещения, мм",005
24,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",10..1200
25,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",10..1200
26,"Скорость быстрых перемещений стола продольных и поперечных, м/мин",20
27,"Наибольшее усилие резания, допускаемое механизмом подачи стола, продольное, кгс",2000
28,"Наибольшее усилие резания, допускаемое механизмом подачи стола, поперечное, кгс",2000
29,Электрооборудование и привод станка,
30,Количество электродвигателей на станке,4
31,"Электродвигатель привода главного движения, кВт (об/мин)",13
32,"Электродвигатель постоянного тока привода подач стола и бабки, кВт (об/мин)",45
33,"Электродвигатель привода быстрого перемещения стола и бабки, кВт (об/мин)",
34,"Электродвигатель насоса смазки, кВт",027
35,"Электродвигатель насоса охлаждения, кВт",012
36,"Суммарная мощность установленных на станке электродвигателей, кВт",1789
37,Габаритные размеры и масса станка,
38,"Габаритные размеры (длина х ширина х высота), мм",3165 х 2890 х 3120
39,"Масса станка, кг",11600
