index,Наименование параметра,6М83Ш
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры рабочей поверхности стола (длина х ширина), мм",1600 х 400
3,"Расстояние от оси горизонтального шпинделя до стола при ручном перемещении, мм",30..450
4,"Расстояние от оси горизонтального шпинделя до хобота, мм",190
5,"Расстояние от торца шпинделя поворотной головки до стола, мм",15..495
6,"Расстояние от оси шпинделя поворотной головки до направляющих станины (вылет), мм",250..900
7,Рабочий стол,
8,"Максимальная нагрузка на стол (по центру), кг",300
9,Число Т-образных пазов Размеры Т-образных пазов,3
10,"Наибольшее продольное перемещение стола, мм",900
11,"Наибольшее поперечное перемещение стола механическое, мм",300
12,"Наибольшее поперечное перемещение стола ручное без ограничительных кулачков, мм",320
13,"Наибольшее вертикальное перемещение стола, мм",420
14,"Перемещение стола на одно деление лимба (продольное, поперечное, вертикальное), мм",005
15,"Скорость быстрого продольного и поперечного хода стола, м/мин",3
16,"Скорость быстрого вертикального хода стола, м/мин",1
17,Число ступеней рабочих подач стола,18
18,"Пределы продольных и поперечных рабочих подач стола, мм/мин",25...1250
19,"Пределы вертикальных рабочих подач стола, мм/мин",83...4166
20,Горизонтальный шпиндель. Шпиндель поворотной и накладной головок,
21,"Частота вращения горизонтального шпинделя, об/мин",315...1600
22,Количество скоростей горизонтального шпинделя,18
23,"Частота вращения шпинделя поворотной и накладной головок, об/мин",90..1400
24,Количество скоростей шпинделя поворотной и накладной головок,9
25,Внутренний конус горизонтального шпинделя.,№3 ГОСТ 836-62
26,Внутренний конус шпинделя поворотной и накладной головок.,№2 ГОСТ 836-62
27,"Диаметр оправок, мм","32, 50"
28,"Диаметр отверстия горизонтального шпинделя, мм",29
29,"Диаметр отверстия шпинделя поворотной и накладной головок, мм",17
30,"Диаметр переднего подшипника горизонтального шпинделя, мм",11375
31,"Диаметр переднего подшипника шпинделя поворотной и накладной головок, мм",65
32,Торможение шпинделя,есть
33,Предохранение шпинделя от перегрузки (муфта),есть
34,Механика станка,
35,Выключающие упоры подачи продольных,есть
36,"Выключающие упоры подачи поперечных, вертикальных",нет
37,"Блокировка ручной и механической подачи (продольной, поперечной, вертикальной)",есть
38,Блокировка раздельного включения подачи,есть
39,Автоматическая прерывистая подача Продольная,есть
40,Автоматическая прерывистая подача Поперечная и вертикальная,нет
41,Привод,
42,Количество электродвигателей на станке,4
43,"Электродвигатель привода главного движения, кВт",10
44,"Электродвигатель привода шпинделя поворотной головки, кВт",22
45,"Электродвигатель привода подач, кВт",3
46,"Электродвигатель насоса охлаждающей жидкости, кВт",0125
47,Электронасос охлаждающей жидкости Тип,ПА-22У2
48,"Производительность насоса СОЖ, л/мин",22
49,Габариты и масса станка,
50,"Габариты станка (длина ширина высота), мм",2630 х 2140 х 2015
51,"Масса станка, кг",4400
