index,Наименование параметра,6560
0,Основные параметры станка,
1,"Размеры поверхности стола, мм",630 х 1600
2,"Расстояние от торца шпинделя до поверхности стола, мм",125..750
3,"Расстояние от оси шпинделя до вертикальных направляющих (вылет), мм",670
4,"Наибольшее перемещение стола в продольном направлении, мм",1250
5,"Наибольшее перемещение стола в поперечном направлении, мм",630
6,"Вертикальное перемещение бабки, мм",625
7,"Наибольшая масса обрабатываемой детали, кг",2000
8,Шпиндель. Бабка шпиндельная,
9,"Диаметр шпинделя по нижним подшипникам, мм",
10,"Частота вращения шпинделя, об/мин",25..1250
11,Количество скоростей шпинделя,18
12,Ход гильзы шпинделя,125
13,"Скорость подачи бабки, мм/мин",3..500
14,"Скорость установочного вертикального перемещения бабки, м/мин",08
15,"Наибольший крутящий момент на шпинделе, кгс*м",
16,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",1500
17,"Наибольший угол поворота шпиндельной бабки, град",±30°
18,"Цена деления шкалы поворота шпиндельной бабки, мин",
19,Конус отверстия шпинделя,Морзе 3
20,Конец шпинделя,№3 ГОСТ 836-62
21,Рабочий стол,
22,"Цена деления лимба поперечного перемещения, мм",
23,"Цена деления лимба продольного перемещения, мм",
24,"Пределы продольных подач стола (б/с регулирование)(X), мм/мин",
25,"Пределы поперечных подач стола (б/с регулирование) (Y), мм/мин",10..1500
26,"Скорость быстрых перемещений стола продольных и поперечных, м/мин",25
27,"Наибольшее усилие резания, допускаемое механизмом подачи стола, продольное, кгс",2000
28,"Наибольшее усилие резания, допускаемое механизмом подачи стола, поперечное, кгс",2000
29,Электрооборудование и привод станка,
30,Количество электродвигателей на станке,5
31,"Электродвигатель привода главного движения, кВт",13
32,"Электродвигатель привода постоянного тока приводов подач стола и бабки, кВт","4,1 х 2"
33,"Электродвигатель насоса смазки, кВт",027
34,"Электродвигатель насоса охлаждения, кВт",012
35,"Суммарная мощность установленных на станке электродвигателей, кВт",
36,Габаритные размеры и масса станка,
37,"Габаритные размеры (длина х ширина х высота), мм",4190 х 3220 х 3120
38,"Масса станка, кг",12000
