index,Наименование параметра,С-106
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",3
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,85
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",140
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",150 х 150
6,Число Т-образных пазов Размеры Т-образных пазов,2
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",
9,"Ход гильзы шпинделя, мм",40
10,"Частота вращения шпинделя, об/мин",2800..16800
11,Количество скоростей шпинделя,6
12,Конус шпинделя,В10
13,Привод,
14,"Электродвигатель привода, кВт (об/мин)","0,18 (2800)"
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",490 х 230 х 370
17,"Масса станка, кг",32
