index,Наименование параметра,1М63
0,Основные технические данные станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",630
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",350
4,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",700
5,"Наибольший диаметр заготовки устанавливаемой над выемкой, мм",900
6,"Высота центров, мм",315
7,"Наибольший диаметр заготовки обрабатываемой в люнете, мм",
8,"Наибольшая длина устанавливаемой детали РМЦ, мм",1400
9,"Наибольшая масса обрабатываемого изделия, кг",2000
10,Шпиндель,
11,"Мощность привода главного движения, кВт",13
12,"Частота прямого/ обратного вращения шпинделя, об/мин",10...125018...1800
13,"Диаметр отверстия в шпинделе, мм",70
14,Центр в шпинделе по ГОСТ 13214-79,Морзе 6
15,Конец шпинделя по ГОСТ 12593-72,8 М
16,Размер внутреннего конуса шпинделя по ГОСТ 25557-82,
17,Количество прямых/ обратных скоростей шпинделя,22/ 11
18,"Наибольший крутящий момент на шпинделе, кНм",
19,Торможение шпинделя,есть
20,Подачи,
21,"Наибольшее перемещение продольное/ поперечное, мм",1260/ 400
22,"Наибольшее перемещение резцовых салазок, мм",220
23,Количество подач продольных/ поперечных/ резцовых салазок,44/ 44/ 44
24,Пределы рабочих подач продольных/ поперечных/ резцовых салазок (1-й ряд),0064...10250026...038
25,Пределы рабочих подач продольных/ поперечных/ резцовых салазок (2-й ряд),
26,"Пределы/ количество шагов метрических резьб, мм",1-192/ 56
27,"Пределы/ количество шагов дюймовых резьб, ниток/дюйм","24-0,25/ 33"
28,"Пределы/ количество шагов модульных резьб, модуль","0,5-48/ 55"
29,"Пределы/ количество шагов питчевых резьб, питч диаметральный",96-7/8 /52
30,"Скорость быстрых перемещений продольных/ поперечных, м/мин","4,5/ 1,6"
31,"Наибольшее усилие резания при продольной/ поперечной подаче, кН",
32,"Цена деления лимба при продольном/ поперечном на диаметр перемещении, мм","1/ 0,05"
33,"Перемещение на оборот лимба при продольном/ поперечном перемещении, мм",300/ 5
34,"Цена деления лимба при перемещении резцовых салазок, мм",005
35,"Перемещение на оборот лимба при при перемещении резцовых салазок, мм",5
36,Задняя бабка,
37,"Наибольшее перемещение пиноли, мм",240
38,Электроборудование станка,
39,Количество электродвигателей на станке,3
40,"Электродвигатель главного движения, кВт/ об/мин",13/ 1460
41,"Электродвигатель быстрых перемещений, кВт/ об/мин","1,1/ 1400"
42,"Электродвигатель насоса СОЖ, кВт/ об/мин",012
43,"Суммарная мощность электродвигателей, кВт",
44,Габариты и масса станка,
45,"Габариты станка (длина, ширина, высота), мм",3530 х1680 х1290
46,"Масса станка, кг",4300
