index,Наименование параметра,1604
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",200
3,"Наибольший диаметр заготовки над суппортом, мм",110
4,"Наибольшая длина заготовки (РМЦ), мм",350
5,"Наибольшая длина обточки заготовки, мм",350
6,"Высота центров над станиной, мм",108
7,"Расстояние от опорной поверхности резца до линии центров, мм",12
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",
9,Шпидель,
10,"Диаметр сквозного отверстия в шпинделе, мм",21
11,"Наибольший диаметр обрабатываемого прутка в патроне, мм",20
12,"Наибольший диаметр обрабатываемого прутка в цанге, мм",12
13,Число ступеней частот прямого вращения шпинделя,14
14,"Частота прямого вращения шпинделя без перебора, об/мин",375..3000
15,"Частота прямого вращения шпинделя с перебором, об/мин",47..375
16,"Размер внутреннего конуса в шпинделе, М",Мозе 4
17,Торможение шпинделя,есть
18,Суппорт,
19,"Наибольшее перемещение суппорта продольное/ поперечное, мм",350/ 115
20,Число ступеней продольных подач,
21,"Пределы рабочих подач продольных, мм/об",
22,"Пределы рабочих подач поперечных, мм/об",
23,"Скорость быстрых перемещений суппорта, продольных, мм/мин",190
24,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
25,Количество нарезаемых резьб метрических,18
26,"Пределы шагов нарезаемых резьб метрических, мм",02..30
27,Количество нарезаемых резьб дюймовых,13
28,Пределы шагов нарезаемых резьб дюймовых,40..8
29,Количество нарезаемых резьб модульных,7
30,Пределы шагов нарезаемых резьб модульных,03..10
31,"Перемещение на одно деление лимба в продольном/ поперечном направлении, мм","0,5/ 0,02"
32,"Перемещение на один оборот лимба в продольном/ поперечном направлении, мм",
33,Выключающие упоры продольные,есть
34,Выключающие упоры поперечные,нет
35,Верхние салазки,
36,Число резцов в резцедержке,4
37,"Наибольшее перемещение салазок, мм",78
38,"Перемещение салазок на одно деление лимба, мм",002
39,"Перемещение салазок на один оборот лимба, мм",20
40,"Угол поворота салазок, град",±45°
41,"Наибольшее сечение державки резца (ширина х высота), мм",12 х 12
42,Задняя бабка,
43,"Наибольшее перемещение пиноли задней бабки, мм",70
44,"Конус пиноли задней бабки, мм",Морзе 2
45,"Диаметр пиноли задней бабки, мм",
46,"Наибольшее поперечное смещение задней бабки, мм",±8
47,"Перемещение пиноли на одно деление линейки, мм",1
48,Электрооборудование,
49,Количество электродвигателей на станке,2
50,"Электродвигатель главного привода, кВт (об/мин)",10
51,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1310 х 690 х 1280
54,"Масса станка, кг",440
