index,Наименование параметра,2Л53У
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",35
3,"Диапазон нарезаемой резьбы в стали 45, мм",
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",290..1000
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",710
6,"Наибольшее расстояние от торца шпинделя до плиты, мм",1120
7,"Расстояние от торца шпинделя до стола, мм",15..630
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",-
9,"Наибольшее вертикальное перемещение стола по колонне, мм",340
10,"Диаметр колонны, мм",
11,"Угол поворота рукава вокруг колонны, град",330°
12,"Размер поверхности плиты (ширина длина), мм",800 х 1500
13,Подъемный стол,
14,"Размер поверхности стола (ширина длина), мм",450 х 800
15,"Угол поворота стола вокруг колонны, град",360°
16,"Угол поворота стола вокруг горизонтальной оси, град","-80°, +90°"
17,"Цена деления шкалы поворота стола вокруг горизонтальной оси, град",1°
18,"Скорость перемещения стола по колонне, мм/мин",314
19,Шпиндель,
20,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",325
21,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 4
22,"Частота прямого вращения шпинделя, об/мин (число ступеней регулирования скорости)","35,5..1400 (8)"
23,"Пределы рабочих подач на один оборот шпинделя, мм/об (число ступеней регулирования подач)","0,1..1,1 (6)"
24,"Перемещение шпинделя на одно деление лимба, мм",1
25,"Перемещение шпинделя на оборот лимба, мм",942
26,"Наибольший допустимый крутящий момент, Н·м (кгс)",180 (18)
27,"Наибольшее усилие подачи, кН",8
28,Зажим вращения колонны,Ручной
29,Зажим рукава на колонне,Ручной
30,Зажим сверлильной головки на рукаве,Ручной
31,Противовес шпинделя,Пружинный
32,Электрооборудование. Привод,
33,Количество электродвигателей на станке,3
34,"Электродвигатель привода главного движения, кВт (об/мин)","2,2 (1500)"
35,"Электродвигатель привода перемещения стола, кВт (об/мин)","0,56 (1500)"
36,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)","0,125 (2800)"
37,"Суммарная мощность установленных электродвигателей, кВт",
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм",1850 х 800 х 2430
40,"Масса станка, кг",2100
