index,Наименование параметра,3151
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр обрабатываемого изделия, мм",150
3,"Наибольшая длина обрабатываемого изделия, мм",750
4,"Наибольший диаметр шлифования в люнете, мм",60
5,"Наибольший диаметр шлифования без люнета, мм",150
6,"Наибольшая длина шлифования, мм",750
7,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",125
8,"Наибольшая масса обрабатываемого изделия, кг",
9,Рабочий стол станка,
10,"Наибольшая длина перемещения стола, мм",780
11,"Ручное ускоренное перемещения стола за один оборот маховика, мм",
12,"Ручное замедленное перемещения стола за один оборот маховика, мм",
13,"Наименьший ход стола от гидросистемы при переключении упорами, мм",
14,"Скорость перемещения стола от гидросистемы (бесступенчатое регулирование), мм/мин",200..10000
15,"Наибольший угол поворота верхнего стола по часовой стрелке, град",5°
16,"Наибольший угол поворота верхнего стола против часовой стрелки, град",5°
17,"Цена деления шкалы поворота верхнего стола, град",
18,"Конусность, мм/м",
19,Шлифовальная бабка,
20,"Диаметр шлифовального круга, мм",600..450
21,"Наибольшая ширина (высота) шлифовального круга, мм",63
22,"Диаметр отверстия в круге, мм",305
23,"Частота вращения шпинделя шлифовальной бабки, об/мин",1450
24,"Скорость резания шлифовального круга, м/с",
25,"Наибольшее перемещение шлифовальной бабки по винту (от руки), мм",150
26,"Величина быстрого подвода шлифовальной бабки от гидравлики, мм",50
27,"Время быстрого подвода шлифовальной бабки, с",
28,"Периодическая подача шлифовальной бабки на диметр изделия от храпового механизма (при реверсе справа, слева, при каждом реверсе), мм",
29,"Периодическая подача шлифовальной бабки на диметр изделия от механизма врезания (при реверсе справа, слева, при каждом реверсе), мм",
30,"Непрерывная подача для врезного шлифования скорость, мм/мин",-
31,"Непрерывная подача для врезного шлифования, мм на оборот изделия",-
32,"Цена деления лимба поперечной подачи на диаметр изделия, мм",0005
33,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",
34,Передняя бабка. Бабка изделия,
35,"Частота вращения изделия (бесступенчатое регулирование), об/мин","75, 105, 300"
36,Конус отверстия в шпинделе передней бабки,Морзе 4
37,Задняя бабка,
38,"Величина отвода пиноли задней бабки от руки, мм",35±2
39,"Величина отвода пиноли задней бабки от гидросистемы, мм",-
40,Конус отверстия в шпинделе задней бабки,Морзе 4
41,Привод и электрооборудование станка,
42,Количество электродвигателей на станке,
43,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)","5,8 (1500)"
44,"Электродвигатель привода изделия, кВт (об/мин)","0,5 (1000)"
45,"Электродвигатель насоса гидросистемы, кВт (об/мин)","1,2 (1000)"
46,"Электродвигатель насоса системы смазки подшипников шпинделя, кВт (об/мин)",-
47,"Электродвигатель насоса системы смазки направляющих стола, кВт (об/мин)",-
48,"Электродвигатель насоса системы охлаждения, кВт (об/мин)","0,125 (3000)"
49,"Электродвигатель магнитного сепаратора, кВт (об/мин)",-
50,Габаритные размеры и масса станка,
51,"Габаритные размеры станка (длина х ширина х высота), мм",2260 х 1590 х 1770
52,"Масса станка с электрооборудованием и охлаждением, кг",3900
