index,Наименование параметра,ДИП-50 (1Д65)
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,"Н,П"
2,"Наибольший диаметр заготовки над станиной, мм",1000
3,"Наибольший диаметр заготовки над суппортом, мм",600
4,"Наибольшая длина заготовки (РМЦ), мм","3000, 5000, 8000"
5,"Наибольшая масса заготовки в центрах, кг",5000
6,Шпидель,
7,"Диаметр сквозного отверстия в шпинделе, мм",85
8,"Наибольший диаметр зажимаемого прутка, мм",80
9,"Наибольший момент на шпинделе, кН/м",
10,"Наибольшее продольное усилие резания Pz, кН",1200
11,"Наибольшее поперечное усилие резания Pх, кН",780
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота прямого вращения шпинделя, об/мин",5...500
14,"Размер внутреннего конуса в шпинделе, М","100, 1:20"
15,Конец шпинделя по ГОСТ 12595-72,1-15М
16,Подачи,
17,"Наибольшее продольное перемещение суппорта РМЦ=3000, мм",2710
18,"Наибольшее поперечное перемещение суппорта, мм",600
19,"Цена деления лимба при продольном перемещении, мм",01
20,"Цена деления лимба при поперечном перемещении, мм",005
21,"Наибольшее продольное перемещение на оборот лимба, мм",50
22,"Наибольшее поперечное перемещение на оборот лимба, мм",6
23,Число ступеней продольных подач,32
24,"Пределы продольных подач, мм/об",020...305
25,"Пределы поперечных подач, мм/об",007...104
26,"Наибольшее перемещение резцовых салазок, мм",240
27,"Скорость быстрых перемещений суппорта, продольных, м/мин",3
28,"Скорость быстрых перемещений суппорта, поперечных, м/мин",1
29,Количество нарезаемых резьб метрических,
30,"Пределы шагов нарезаемых резьб метрических, мм",1...120
31,Количество нарезаемых резьб дюймовых,
32,Пределы шагов нарезаемых резьб дюймовых,28...025
33,Количество нарезаемых резьб модульных,
34,Пределы шагов нарезаемых резьб модульных,1...120
35,Количество нарезаемых резьб питчевых,
36,Пределы шагов нарезаемых резьб питчевых,
37,Задняя бабка,
38,Центр в шпинделе по ГОСТ 13214-79,Морзе 5
39,"Наибольшее перемещение пиноли, мм",300
40,"Наибольшее перемещение пиноли с установленным инструментом, мм",280
41,Электрооборудование,
42,Количество электродвигателей на станке,4
43,"Электродвигатель главного привода, кВт/об/мин",221460
44,"Электродвигатель быстрого хода, кВт/об/мин",151400
45,Насос смазки,С12-54
46,Насос охлаждения (помпа),ПА-22
47,Габариты и масса станка,
48,"Габариты станка РМЦ=3000, мм",6140 х 2200 х 1760
49,"Масса станка РМЦ=3000, кг",12800
