index,Наименование параметра,ТВ-11*
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",240
3,"Наибольший диаметр заготовки над суппортом, мм",110
4,"Высота центров над плоскими направляющими станины, мм",130
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",750
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая высота держателя резца, мм",16 х 16
8,"Наибольшая масса обрабатываемой заготовки, кг",
9,Шпиндель,
10,"Резьбовой конец шпинделя, мм","М45 х 4,5"
11,"Диаметр стандартного патрона, мм",125
12,"Диаметр сквозного отверстия в шпинделе, мм",18
13,Конус Морзе шпинделя,№3
14,Число ступеней частот прямого вращения шпинделя,б/с
15,"Частота прямого вращения шпинделя, об/мин",40..2000
16,Торможение шпинделя,
17,Блокировка рукояток,
18,Суппорт. Подачи,
19,"Наибольшее продольное перемещение суппорта, мм",
20,"Перемещение суппорта продольное на одно деление лимба, мм",025
21,"Наибольшее поперечное перемещение суппорта, мм",
22,"Перемещение суппорта поперечное на одно деление лимба, мм",0025
23,"Наибольшее перемещение верхних (резцовых) салазок, мм",85
24,"Перемещение резцовых салазок на одно деление лимба, мм",0025
25,"Угол поворота резцовых салазок, град",±40°
26,Число ступеней продольных подач суппорта,
27,"Пределы продольных рабочих подач суппорта, мм/об",004..031
28,"Пределы рабочих поперечных подач суппорта, мм/об",нет
29,Количество нарезаемых резьб метрических,
30,"Пределы шагов нарезаемых резьб метрических, мм",08..25
31,Пределы шагов нарезаемых резьб дюймовых,нет
32,Пределы шагов нарезаемых резьб модульных,нет
33,Пределы шагов нарезаемых резьб питчевых,нет
34,Задняя бабка,
35,Конус Морзе задней бабки,№2
36,"Наибольшее перемещение пиноли, мм",65
37,Электрооборудование,
38,"Электродвигатель главного привода, кВт","1,1 / 380"
39,Габариты и масса станка,
40,"Габариты станка (длина ширина высота), мм",1600 х 650 х 690
41,"Масса станка, кг",245
