index,Наименование параметра,3М227ВФ2
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр устанавливаемого изделия, мм",400
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",250
4,"Наибольшая длина устанавливаемого изделия, мм",200
5,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",20..200
6,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",
7,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",1210
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",285
9,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",990
10,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",120..280
11,Рабочий стол станка,
12,"Наибольшая длина перемещения стола, мм",560
13,"Ручное перемещения стола за один оборот маховика, мм",
14,"Скорость перемещения стола при шлифовании, м/мин",1..7
15,"Скорость перемещения стола при правке круга, м/мин",01..2
16,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",10
17,Шлифовальная бабка,
18,"Частота вращения шпинделя внутришлифовальной головки, 1/мин",5000..28000
19,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",
20,"Наибольший высота шлифовального круга по ГОСТ 2424-83, мм",
21,"Диаметр отверстия шлифовального круга по ГОСТ 2424-83, мм",
22,Поперечное перемещение шлифовальной бабки,
23,"Перемещение за один оборот маховичка - грубое (наладочное), мм",
24,"Перемещение за один оборот шагового двигателя, мм",01
25,"Перемещение за один оборот маховичка - тонкое, мм",
26,"Перемещение за один импульс (шаг) шагового двигателя, мм",0416
27,"Перемещение на одно деление лимба, мм",
28,"Перемещение на одно качание рычага ручной дозированной подачи, мм",
29,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",10
30,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",50
31,"Величины поперечной подачи шлифовальной бабки на сторону, мм/дв.ход",
32,"Передняя бабка (бабка изделия, шпиндель изделия)",
33,"Наибольший угол поворота бабки изделия, град",45
34,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",30
35,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",180
36,"Частота вращения изделия (бесступенчатое регулирование), об/мин",60..1200
37,Торцешлифовальное приспособление,
38,"Частота вращения торцового шпинделя, 1/мин",
39,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",160
40,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",4
41,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",27
42,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",01
43,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",00025
44,"Размеры торцешлифовального круга, мм",ЧШ100 х 50 х 20
45,Привод и электрооборудование станка,
46,Количество электродвигателей на станке,7
47,"Электродвигатель шпинделя шлифовальной бабки, кВт",44
48,"Электродвигатель привода торцешлифовального приспособления, кВт",
49,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",
50,"Электродвигатель насоса гидросистемы, кВт",
51,"Электродвигатель фильтра-транспортера, кВт",
52,"Электродвигатель насоса системы охлаждения, кВт",
53,"Электродвигатель магнитного сепаратора, кВт",
54,"Общая мощность электродвигателей, кВт",90
55,"Привод с магнитным усилителем ПМУ5М4У4, кВт",
56,"Привод с магнитным усилителем ЭТ1Е2-9УХП4, кВт",10
57,Количество преобразовательных агрегатов,3
58,Габаритные размеры и масса станка,
59,"Габаритные размеры станка (длина х ширина х высота), мм",2700 х 1320 х 1850
60,"Масса станка с электрооборудованием и охлаждением, кг",4500
