index,Наименование параметра,ГС520
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",16
2,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М16
3,"Наибольший условный диаметр торцевого фрезерования в стали 45, мм",40
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,0..400
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",227
6,Рабочий стол,
7,"Ширина рабочей поверхности стола, мм",200 х 500
8,Число Т-образных пазов Размеры Т-образных пазов,3
9,Продольное и поперечное перемещение стола,320 х 200
10,Сверлильно-фрезерная головка. Шпиндель,
11,"Наибольшее перемещение шпиндельной головки (бабки), мм",320
12,"Угол поворота шпиндельной головки (бабки) вокруг горизонтальной оси, град",±90
13,"Угол поворота шпиндельной головки (бабки) вокруг колонны, град",±180
14,"Ход гильзы шпинделя, мм",60
15,"Цена деления лимба тонкой подачи, мм",005
16,"Частота вращения шпинделя, об/мин","100, 180, 315, 560, 1000, 1800"
17,Количество скоростей шпинделя,6
18,Конус шпинделя,Морзе 2
19,Привод,
20,"Электродвигатель привода главного движения Мощность, кВт",075
21,Габарит и масса станка,
22,"Габариты станка (длина ширина высота), мм",690 х 690 х 1280
23,"Масса станка, кг",260
