index,Наименование параметра,1510
0,Основные параметры,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным и боковым суппортами, мм",1000
2,"Наибольшая высота обрабатываемого изделия, мм",800
3,"Диаметр планшайбы, мм",
4,"Наибольшая масса устанавливаемого изделия, кг",
5,при 5—80 оборотах планшайбы в минуту,2500
6,при 100 оборотах планшайбы в минуту,
7,при 125 оборотах планшайбы в минуту,
8,при 160 оборотах планшайбы в минуту,
9,при 200 оборотах планшайбы в минуту,
10,при 250 оборотах планшайбы в минуту,
11,Вертикальный суппорт,
12,Количество позиций револьверной головки,5
13,"Наибольшее горизонтальное перемещение суппорта, мм",775
14,"Наибольшее вертикальное перемещение ползуна суппорта, мм",700
15,"Цена деления лимба горизонтального и вертикального перемещения, мм",005
16,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",25
17,"Наибольший угол поворота ползуна суппорта, град",±45°
18,"Цена деления лимба поворота ползуна суппорта, мин",
19,"Цена деления шкалы поворота ползуна суппорта, град",
20,"Диаметр отверстий револьверной головки суппорта, мм",
21,"Наибольшие размеры сечения державки резца (ширина х высота), мм",
22,"Наибольшее допустимое усилие резания, кН",35
23,Горизонтальный суппорт (боковой),
24,"Наибольшее горизонтальное перемещение, мм",630
25,"Наибольшее вертикальное перемещение, мм",1000
26,"Цена деления лимба горизонтального и вертикального перемещения, мм",
27,"Горизонтальное и вертикальное перемещения за один оборот лимба, мм",
28,"Наибольшее допустимое усилие резания, кН",25
29,Количество позиций резцедержателя,4
30,Поперечина (траверса),
31,"Наибольшее перемещение, мм",660
32,"Скорость перемещения, мм/мин",450
33,Выключающие упоры,
34,Блокировка перемещения в процессе резания,
35,Механика станка,
36,Число скоростей планшайбы,Б/с
37,Число оборотов планшайбы в минуту,8..400
38,Число подач суппортов,
39,"Вертикальные и горизонтальные подачи суппортов, мм/об",
40,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",
41,"Скорость установочных перемещений суппортов, мм/мин",
42,"Наибольший крутящий момент на планшайбе, кН*м",20
43,Привод и электрооборудование станка,
44,Род тока питающей электросети,Переменный трехфазный
45,"Электродвигатель привода главного движения, кВт (об/мин)",
46,"Электродвигатель установочных перемещений суппортом, кВт (об/мин)",
47,"Электродвигатель перемещения поперечины, кВт (об/мин)",
48,"Электродвигатель смазки, кВт (об/мин)",
49,"Электродвигатель поворота и зажима револьверной головки, кВт (об/мин)",
50,Габарит и масса станка,
51,"Габарит станка (длнна х ширина х высота), мм",2370 х 2365 х 3210
52,"Масса станка, кг",10500
