index,Наименование параметра,3К12
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",200
3,"Наибольшая длина обрабатываемого изделия (РМЦ), мм",500
4,"Наибольшая длина шлифования, мм",450
5,"Наибольший диаметр круглого шлифования, мм",200
6,"Рекомендуемый диаметр круглого шлифования, мм",8..60
7,"Рекомендуемый диаметр внутреннего шлифования, мм",25..100
8,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",120
9,Станина и столы станка,
10,"Наибольшее продольное перемещение стола от руки/автомат, мм",550/ 500
11,"Наименьший ход стола между упорами, мм",2
12,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм","1,6/ 32,0"
13,"Скорость перемещения стола от гидросистемы, м/мин",01..5
14,"Наибольший угол поворота верхнего стола по часовой стрелке, град",6
15,"Наибольший угол поворота верхнего стола против часовой стрелки, град",7
16,Шлифовальная бабка,
17,"Наибольшее перемещение шлифовальной бабки от маховика, мм",110
18,"Перемещение шлифовальной бабки относительно верхних салазок, мм",230
19,"Перемещение шлифовальной бабки во время быстрого подвода, мм",40
20,"Поворот шлифовальной бабки, град",90
21,Шлифовальный круг по ГОСТ 2424-67,350 х 40 х 127
22,"Диаметр шлифовального круга - наибольший/ наименьший, м/с",
23,"Диаметр шлифовального круга - посадочный, м/с",127
24,"Наибольшая высота устанавливаемого круга, мм",40
25,"Частота вращения шпинделя наружного шлифования, об/мин",2720
26,"Толчковая подача - периодическая подача с реверсированием стола, мм",
27,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика, мм",05
28,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",10
29,"Конец шлифовального шпинделя по ГОСТ 2323-67 (конусность 1:5, номинальный диаметр), мм",65
30,Приспособление для внутреннего шлифования,
31,"Диаметр внутришлифовальной головки, мм",17 х 20 х 630 х 25 х 1040 х 32 х 16
32,Число оборотов внутришлифовального шпинделя,16750
33,Передняя бабка (бабка изделия),
34,"Частота вращения изделия (бесступенчатое регулирование), об/мин",52..780
35,"Угол поворота в сторону шлифовального круга, град",90
36,"Угол поворота в сторону от шлифовального круга, град",30
37,Конус шпинделя передней бабки по ГОСТ 2847-67,Морзе 4
38,Задняя бабка,
39,"Величина отвода пиноли задней бабки от руки, мм",30
40,Конус шпинделя пиноли задней бабки по ГОСТ 2847-67,Морзе 4
41,Привод и электрооборудование станка,
42,Количество электродвигателей на станке,7
43,"Электродвигатель шпинделя шлифовальной бабки 2М, кВт",55
44,"Электродвигатель внутришлифовального шпинделя 7М, кВт",11
45,"Электродвигатель привода изделия 1М, кВт",07
46,"Электродвигатель насоса гидросистемы 3М, кВт",22
47,"Электродвигатель насоса системы смазки шпинделя 4М, кВт",027
48,"Электродвигатель насоса системы охлаждения 5М, кВт",015
49,"Электродвигатель магнитного сепаратора 6М, кВт",012
50,Габаритные размеры и масса станка,
51,"Габаритные размеры станка (длина х ширина х высота), мм",2600 х 1900 х 1975
52,"Масса станка с электрооборудованием и охлаждением, кг",3100
