index,Наименование параметра,1563Ф1
0,Основные параметры станка,
1,"Наибольший диаметр изделия, обрабатываемого вертикальным и боковым суппортами, мм",6300
2,"Наибольшая высота обрабатываемого изделия, мм",3200
3,"Диаметр планшайбы, мм",6300
4,"Наибольшая масса устанавливаемого изделия, т",160
5,"при 1,25..40 оборотах планшайбы в минуту",
6,"при 1,6..50 оборотах планшайбы в минуту",
7,при 50..63 оборотах планшайбы в минуту,
8,при 160 оборотах планшайбы в минуту,
9,при 63..80 оборотах планшайбы в минуту,
10,Вертикальные суппорты,
11,Количество вертикальных суппортов,2
12,"Наибольшее горизонтальное (поперечное) перемещение верхних суппортов, мм",3425
13,"Наибольшее вертикальное перемещение поперечины, мм",2890
14,"Наибольшее вертикальное перемещение ползунов суппортов, мм",2000
15,"Цена деления лимба горизонтального и вертикального перемещения, мм",
16,"Горизонтальное и вертикальное перемещение за один оборот лимба, мм",
17,"Наибольший угол поворота ползуна суппорта, град",+30°; -15°
18,"Цена деления лимба поворота ползуна суппорта, мин",
19,"Цена деления шкалы поворота ползуна суппорта, град",
20,"Наибольшие размеры сечения державки резца (ширина х высота), мм",
21,"Скорость установочных перемещений ползунов и суппортов, мм/мин",2500
22,Поперечина,
23,"Скорость перемещения, мм/мин",300
24,Выключающие упоры,
25,Блокировка перемещения в процессе резания,
26,Механика станка,
27,Число скоростей планшайбы,
28,"Число оборотов планшайбы в минуту при прямом и обратном вращении, об/мин",
29,Число подач суппортов,б/с
30,"Вертикальные и горизонтальные подачи суппортов, мм/об",00352..285
31,"Наибольшее допускаемое усилие резания двумя суппортами, кгс",
32,"Скорость установочных перемещений суппортов, мм/мин",
33,Электрооборудование и привод станка,
34,Род тока питающей электросети,"~380 В, 50 Гц"
35,Количество трехфазных электродвигателей установленных на станке,
36,Количество однофазных электродвигателей установленных на станке,
37,"Электродвигатели привода главного движения, кВт (об/мин)",180 (1500)
38,"Электродвигатели подачи суппортов, кВт (об/мин)","3,4 (3000)"
39,"Электродвигатель смазки (входит в комплект насоса), кВт (об/мин)",
40,"Электродвигатель перемещения поперечины, кВт (об/мин)","14,5 (1350)"
41,"Электродвигатель зажима поперечины, кВт (об/мин)","2,2 (1430)"
42,"Электродвигатель установочных перемещений правого 2М1 и левого 3М1 суппортов, кВт",20
43,"Электродвигатель привода системы смазки поперечины 1М5, кВт (об/мин)",
44,"Электродвигатель привода системы смазки правого суппорта 2М2 и 2М3, кВт (об/мин)",
45,"Электродвигатель привода системы смазки левого суппорта 3М2 и 3М3, кВт",
46,Габарит и масса станка,
47,"Габарит станка (длнна х ширина х высота), мм",8200 х 14200 х 9800
48,"Масса станка, т",228
