index,Наименование параметра,2431
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82Е,С
2,"Наибольший диаметр сверления в стали 45, мм",145
3,"Наибольший диаметр сверления в чугуне, мм",
4,"Наибольший диаметр рассверливания, мм",30
5,"Наибольший диаметр растачивания, мм",220
6,"Наибольший диаметр фрезы при фрезеровании, мм",63
7,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",50..575
8,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",320
9,Стол,
10,"Рабочая поверхность стола, мм",320 х 560
11,"Наибольшее продольное перемещение стола, мм",400
12,"Наибольшее поперечное перемещение стола, мм",250
13,"Наибольшая масса обрабатываемого изделия, кг",300
14,Число Т- образных пазов на столе,5
15,Количество подач стола,Б/С
16,"Величина ускоренного перемещения стола, мм/мин",2000
17,"Пределы рабочих подач при фрезеровании, мм/мин",1..1200
18,"Цена деления оптического отсчетного устройства, мм",0001
19,"Точность установки координат, мм",0002
20,Шпиндель,
21,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя ручное, мм",125
22,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя механическое, мм",125
23,"Диаметр передней опоры шпинделя, мм",60
24,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",400
25,"Скорость перемещения шпиндельной бабки (головки), мм/мин",1200
26,Количество скоростей шпинделя,Б/С
27,"Частота вращения шпинделя, об/мин",10..3000
28,Количество подач шпинделя,6
29,Внутренний конус шпинделя,
30,Наибольший конус закрепляемого инструмента,
31,Закрепление шпиндельной коробки на направляющих,ручное
32,Предохранение от перегрузки механизма подач,
33,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,02; 0,03; 0,05; 0,08; 0,12; 0,20"
34,"Максимальный момент на шпинделе, Н*м",52
35,Привод,
36,Количество электродвигателей на станке,4
37,"Электродвигатель привода главного движения, кВт (об/мин)","1,9 (1060), =220В"
38,"Привод перемещения стола, кВт","0,18 (1000), =36В"
39,"Привод перемещения салазок. Мощность, кВт (об/мин)","0,18 (1000), =36В"
40,"Привод перемещения шпиндельной головки. Мощность, кВт (об/мин)","0,55 (3000)"
41,"Привод зажима отжима стола, кВт",
42,"Привод зажима отжима салазок, кВт",
43,Электронасос охлаждающей жидкости Тип,ПА-22
44,Габарит станка,
45,"Габариты станка, включая ход стола и салазок, мм",2360 х 1900 х 1580
46,"Масса станка, кг",2500
