index,Наименование параметра,525
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8-82 и ГОСТ 659-78,Н
2,"Наибольший окружной модуль нарезаемого колеса, мм",10
3,"Наибольшая длина образующей начального конуса при угле спирали 0° / 30°, мм",180 /260
4,"Наименьшая длина образующей, мм",0
5,"Наибольший диаметр делительной окружности нарезаемых колес при передаточном отношении нарезаемой пары 10:1 при угле спирали 0° / 30°, мм",500 / 360
6,"Наибольший диаметр делительной окружности нарезаемых колес при передаточном отношении нарезаемой пары 2:1 при угле спирали 0° / 30°, мм",450 / 320
7,"Наибольший диаметр делительной окружности нарезаемых колес при передаточном отношении нарезаемой пары 1:1 при угле спирали 0° / 30°, мм",350 / 250
8,"Угол внутреннего конуса (начального конуса), град",4°..90°
9,Наибольшее передаточное отношение нарезаемой пары при угле между осями 90°,10:1
10,"Наибольшая длина зуба нарезаемого колеса (Наибольшая ширина зубчатого венца), мм",65
11,"Наибольшая высота нарезаемого зуба, мм",20
12,Наибольшее число нарезаемых зубьев,5..100
13,"Угол спирали, град",0°..50°
14,"Угол наклона зуба, град",0°..45°
15,Инструментальная бабка. Размеры инструмента,
16,"Диаметры резцовых головок, мм","6"", 9"", 12"""
17,Люлька,
18,"Поворот люльки при наладке, град",0..360°
19,"Установка угла эксцентрикового барабана, град",0..240
20,"Соответствующее радиальное смещение шпинделя резцовой головки, мм",0..126
21,"Наибольший угол качания люльки от центрального положения вверх и вниз, град",0..60°
22,"Точность отсчета по шкале поворота люльки, мин",
23,"Одно деление шкалы поворота эксцентрикового барабана, мин",
24,"Расстояние от центра станка до торца шпинделя (опорный торец для установки резцовой головки), мм",
25,Бабка изделия (Делительная бабка),
26,"Расстояние от торца шпинделя бабки изделия до центра станка, мм",60..360
27,"Вертикальное смещение шпинделя вниз от центрального расположения при установленном расстоянии от торца шпинделя бабки изделия до центра станка до 115 / свыше 115, мм",10 / 75
28,"Вертикальное смещение шпинделя вниз от центрального расположения при установленном расстоянии от торца шпинделя бабки изделия до центра станка 135..325, мм",
29,"Вертикальное смещение шпинделя вниз от центрального расположения при установленном расстоянии от торца шпинделя бабки изделия до центра станка 326..600, мм",
30,"Вертикальное смещение шпинделя вверх от центрального положения, мм",75
31,"Размеры конического / сквозного отверстия в шпинделе, мм",100 / 78
32,"Точность отсчета по шкале осевой установки бабки, мм",
33,"Точность отсчета по шкале установки бабки на угол внутреннего конуса, мин",
34,"Одно деление шкалы отсчета установки бабки на угол внутреннего конуса, мин",
35,"Установка бабки на угол внутреннего конуса, град",
36,"Одно деление шкалы гипоидного смещения бабки, мм",
37,Стол,
38,"Наибольшее смещение от центрального положения,мм",±25
39,Привод и электрооборудование станка,
40,"Количество электродвигателей, установленных на станке",
41,"Электродвигатель главного привода, кВт (об/мин)","4,5 (2870)"
42,"Электродвигатель гидропривода, кВт (об/мин)","1,7 (930)"
43,"Электродвигатель привода гидронасоса охлаждения, кВт (об/мин)<",
44,"Суммарная мощность электродвигателей, кВт",
45,Габаритные размеры и масса станка,
46,"Габаритные размеры станка (длина х ширина х высота), мм",2200 х 1600 х 1600
47,"Масса станка с электрооборудованием и охлаждением, кг",7000
