index,Наименование параметра,53А11
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса, мм",16
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с отведенной задней стойкой (без контрподдержки), мм",1250
3,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°) с задней стойкой (с контрподдержкой), мм",800
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",1000
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",600
6,"Наибольший угол наклона нарезаемых зубъев обрабатываемых колес, град",±45
7,"Наибольший диаметр червячных нарезаемых колес, мм",
8,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",
11,Наименьшее число нарезаемых зубьев,12
12,Стол,
13,"Диаметр стола, мм",1000
14,"Расстояние между осями стола и фрезы, мм",100..750
15,"Расстояние от плоскости стола и оси фрезы, мм",235..835
16,"Ускоренное перемещение стола, мм/мин",145
17,"Ручное перемещение стола за один оборот лимба, мм",04
18,Суппорт,
19,"Наибольшее перемещение фрезерного суппорта, мм",600
20,"Ускоренное перемещение каретки суппорта, мм/мин",330
21,"Наибольший диаметр режущего инструмента (червячной фрезы), мм",225
22,"Наибольшая длина режущего инструмента (червячной фрезы), мм",250
23,"Диаметры фрезерных оправок, мм","32, 40, 50, 60"
24,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",
25,"Расстояние от оси шпинделя до направляющих суппорта, мм",
26,"Поворот суппорта на одно деление шкалы линейки, град",1°
27,"Поворот суппорта на одно деление шкалы нониуса, мин",1`
28,Конусное отверстие шпинделя,Морзе 6
29,"Наибольшее осевое перемещение фрезы, мм",245
30,"Наибольшая величина вертикального перемещения суппорта при угле наклона (30°/ 45°/ 60°), мм",415/ 320/ 220
31,Механика станка,
32,"Пределы оборотов фрезы, об/мин",28..270
33,Число ступеней оборотов фрезы,14
34,"Пределы продольных (вертикальных) подач, мм/об",015..40
35,"Пределы радиальных подач, мм/об",006..172
36,"Пределы тангенциальных подач, мм/об",004..195
37,Число ступеней подач,б/с
38,Привод и электрооборудование станка,
39,"Электродвигатель главного привода, кВт","8, 10, 12,5"
40,"Электродвигатель ускоренного хода, кВт",4
41,"Электродвигатель привода гидронасоса, кВт",
42,"Электродвигатель насоса охлаждения, кВт",
43,"Электродвигатель транспортера стружки, кВт",055
44,"Суммарная мощность электродвигателей, кВт",2037
45,Габаритные размеры и масса станка,
46,"Габаритные размеры станка (длина х ширина х высота), мм",4020 х 2350 х 2780
47,"Масса станка с электрооборудованием и охлаждением, кг",17000
