index,Наименование параметра,6620
0,Основные параметры станка,
1,"Наибольшие размеры обрабатываемой заготовки (ширина х высота), мм",2000 х 2000
2,"Наибольшая масса обрабатываемой заготовки, кг",50000
3,"Размеры рабочей поверхности стола, мм",2000 х 6300
4,"Наибольший ход стола, мм",6800
5,"Наибольший угол поворота вертикальной фрезерной бабки, град",±45°
6,"Наибольший угол поворота горизонтальной фрезерной бабки, град",±30°
7,"Расстояние от торца вертикального шпинделя до поверхности стола, мм",175..2180
8,"Расстояние от оси горизонтального шпинделя до поверхности стола, мм",-170..1765
9,"Расстояние между торцами горизонтальных шпинделей, мм",1550..2250
10,"Расстояние между осями вертикальных шпинделей, мм",680..3400
11,"Расстояние между стойками, мм",2485
12,Количество шпинделей вртикальных / горизонтальных,2 / 2
13,Бабка шпиндельная вертикальная и горизонтальная. Шпиндель,
14,"Частота вращения шпинделей, об/мин",20..1000
15,Количество скоростей шпинделя,18
16,"Ход гильзы шпинделя, мм",350
17,"Конец шпинделя по ГОСТ 836-72, мм",60
18,"Наибольший расчетный диаметр торцевых фрез, мм",500
19,Механика станка,
20,"Скорость бесступенчатой подачи бабки, мм/мин",8..800
21,"Скорость бесступенчатой подачи стола, мм/мин",5..1000
22,"Скорость бесступенчатой подачи гильзы шпинделя, мм/мин",4..400
23,"Скорость быстрого (установочного) перемещения стола, мм/мин",5..1000
24,"Скорость быстрого (установочного) перемещения бабок, мм/мин",8..800
25,"Скорость быстрого (установочного) перемещения гильз шпинделей, мм/мин",4..400
26,"Скорость установочного перемещения поперечины, мм/мин",550
27,"Наибольший крутящий момент на шпинделе, кгс*м",723
28,"Наибольшее усилие резания, допускаемое механизмом подачи стола, кгс",8000
29,"Наибольшее усилие резания, допускаемое механизмом подачи бабки, кгс",2300
30,"Наибольшее усилие резания, допускаемое механизмом подачи вертикального шпинделя, кгс",1500
31,"Наибольшее усилие резания, допускаемое механизмом подачи горизонтального шпинделя, кгс",900
32,Электрооборудование и привод станка,
33,Количество электродвигателей на станке,
34,"Электродвигатель привода главного движения, кВт (об/мин)",30 х 4 (1460)
35,"Электродвигатель привода подач стола, кВт (об/мин)",11 (1500)
36,"Электродвигатель приводов подач бабок, кВт (об/мин)","4,3 х 4 (1000/ 3000)"
37,"Электродвигатель быстрого перемещения стола, кВт (об/мин)",17 (1470)
38,"Электродвигатель перемещения поперечины, кВт (об/мин)","14,5 (1350)"
39,"Электродвигатель станции гидропривода стола, кВт (об/мин)",3 (960)
40,"Электродвигатель станции гидропривода поперечины, кВт (об/мин)",3 (960)
41,"Электродвигатель станции гидропривода фрезерных бабок, кВт (об/мин)","1,1 х 4 (930)"
42,"Электродвигатель станции гидропривода вспомогательных устройств, кВт (об/мин)",3 (960)
43,"Электродвигатель насоса охлаждения, кВт (об/мин)",
44,"Суммарная мощность установленных на станке электродвигателей, кВт",
45,Габаритные размеры и масса станка,
46,"Габаритные размеры (длина х ширина х высота), мм",18970 х 7570 х 6700
47,"Масса станка, кг",121900
