index,Наименование параметра,2421
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82Е,С
2,"Наибольший диаметр сверления в стали 45, мм",10
3,"Наибольший диаметр сверления в чугуне, мм",12
4,"Наибольший диаметр рассверливания, мм",
5,"Наибольший диаметр растачивания, мм",80
6,"Наибольший диаметр фрезы при фрезеровании, мм",
7,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",100..400
8,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",280
9,Стол,
10,"Рабочая поверхность стола, мм",250 х 450
11,"Наибольшее продольное перемещение стола, мм",320
12,"Наибольшее поперечное перемещение стола, мм",200
13,"Наибольшая масса обрабатываемого изделия, кг",150
14,Число Т- образных пазов на столе,3
15,Количество подач стола,-
16,"Величина ускоренного перемещения стола, мм/мин",-
17,"Пределы рабочих подач при фрезеровании, мм/мин",-
18,"Цена деления оптического отсчетного устройства, мм",0001
19,"Точность установки координат, мм",0002
20,Шпиндель,
21,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя ручное, мм",100
22,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя механическое, мм",100
23,"Диаметр передней опоры шпинделя, мм",
24,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",200
25,"Скорость перемещения шпиндельной бабки (головки), мм/мин",-
26,Количество скоростей шпинделя,Б/С
27,"Частота вращения шпинделя, об/мин",135..3000
28,Количество подач шпинделя,3
29,Внутренний конус шпинделя,Морзе 2
30,Наибольший конус закрепляемого инструмента,Морзе 2
31,Закрепление шпиндельной коробки на направляющих,ручное
32,Предохранение от перегрузки механизма подач,
33,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,015; 0,03; 0,06"
34,"Максимальный момент на шпинделе, Н*м",90
35,Привод,
36,Количество электродвигателей на станке,1
37,"Электродвигатель привода главного движения, кВт (об/мин)","2,1 (2200)"
38,"Привод перемещения стола, кВт",-
39,"Привод перемещения салазок. Мощность, кВт (об/мин)",-
40,"Привод перемещения шпиндельной головки. Мощность, кВт (об/мин)",-
41,"Привод зажима отжима стола, кВт",-
42,"Привод зажима отжима салазок, кВт",-
43,Электронасос охлаждающей жидкости Тип,-
44,Габарит станка,
45,"Габариты станка, включая ход стола и салазок, мм",1890 х 1220 х 2220
46,"Масса станка, кг",1885
