index,Наименование параметра,8725
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки (угол реза 90°), мм",250
2,"Наибольшие размеры сечения круглой заготовки (угол реза 45°), мм",140
3,"Наибольшие размеры сечения квадратной заготовки (угол реза 90°), мм",250 х 250
4,"Наибольшие размеры сечения прямоугольной заготовки (угол реза 45°), мм",140 х 250
5,"Наибольшее расстояние от полотна до верхней части рамы, мм",
6,"Максимальная длина отрезаемой заготовки по упору, мм",350
7,"Расстояние от основания станка до опорной поверхности заготовки, мм",550
8,"Размеры применяемого ножовочного полотна(ДхШхТолщ.), мм",450х40х2; Ø 8
9,"Максимальная ширина пропила, мм",35
10,Число двойных ходов пильной рамы в минуту,"45, 56, 71, 112, 140, 128"
11,"Длина хода пильной рамы, мм",180
12,"Угол поворота тисков, град",45°
13,"Производительность при резке стали 45 ГОСТ 1050-74 Ø 100мм, не менее см2/мин",30
14,Механизм зажима заготовки,вручную
15,Механизм подачи заготовки,вручную
16,Электрооборудование станка,
17,"Электродвигатель главного привода, кВт (об/мин)",22
18,"Электродвигатель гидростанции, кВт (об/мин)",-
19,"Электродвигатель насоса охлаждения, кВт (об/мин)",012
20,Габарит и масса пресс-ножниц,
21,"Габарит пресс-ножниц (длна х ширина х высота), мм",1690 х 700 х 900
22,"Масса пресс-ножниц, кг",700
