index,Наименование параметра,7А33
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Длина хода ползуна, мм",13..320
3,"Наибольшее сечение резца, мм",25 х 16
4,"Наибольшее расстояние от опорной поверхности резца до станины (вылет), мм",400
5,"Высота ползуна над рабочей поверхностью стола, мм",300
6,Стол,
7,"Размеры рабочей поверхности стола - верхней, мм",320 х 280
8,"Размеры рабочей поверхности стола - боковой, мм",280 х 270
9,"Наибольшее перемещение стола - горизонтальное, мм",360
10,"Наибольшее перемещение стола - вертикальное, мм",230
11,Число вертикальных подач стола,12
12,"Пределы вертикальных подач стола, мм/дв.ход",005..6
13,Число горизонтальных подач стола,12
14,"Пределы горизонтальных подач стола, мм/дв.ход",01..12
15,"Быстрое, горизонтальное перемещение стола, м/мин",нет
16,"Цена деления лимба, мм",
17,Суппорт,
18,"Наибольшее вертикальное перемещение головки резца от руки, мм",70
19,"Цена деления лимба, мм",
20,"Наибольший угол поворота резцовой головки вне направляющих полуна, град",±60
21,"Наибольший угол поворота резцовой головки внутри направляющих полуна, град",±30
22,"Наибольший угол поворота доски резцедержателя, град",±10
23,"Наибольшая перестановка ползуна от среднего положения, мм",±135
24,"Наибольшее допустимое усилие резания, кгс",1100
25,Число ступеней скоростей главного привода (перемещения ползуна),4
26,Числа двойных ходов ползуна в минуту,"47, 61, 94, 186"
27,Электрооборудование. Привод,
28,Количество электродвигателей на станке,1
29,"Электродвигатель привода, кВт (об/мин)","1,7/ 1,9/ 2,5/ 3,0700/ 920/ 1420/ 2800"
30,Габариты и масса станка,
31,"Габариты станка (длина ширина высота), мм",1770 х 900 х 1540
32,"Масса станка, кг",900
