index,Наименование параметра,1П732РФ3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",630
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",
4,"Наибольший диаметр обрабатываемой в патроне заготовки над суппортом, мм",400
5,"Диаметр отверстия в шпинделе, мм",72
6,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе, мм",70
7,"Наибольшая длина обрабатываемого изделия, мм",300
8,"Наибольшая длина изделия устанавливаемого в центрах, мм",-
9,"Наибольший диаметр сверления в центре изделия, мм",40
10,"Высота оси центров от подошвы (основания) станка, мм",1160
11,"Допустимая масса заготовки из стали, кг",
12,Система УЧПУ,Н22-1м
13,Количество одновременно управляемых координат,2/2
14,Наличие оси С,нет
15,Шпиндель,
16,Количество рабочих скоростей шпинделя,18
17,"Пределы чисел оборотов шпинделя, об/мин",25..1250
18,Центр шпинделя передней бабки по ГОСТ 25557-82,М100 АТ7
19,"Конец шпинделя фланцевый по ГОСТ 12595-85, тип",А11М
20,"Наибольший допустимый крутящий момент на шпинделе, Н*м",
21,Подачи,
22,"Дискретность задания перемещения продольного (Z)/ поперечного (X), мм",
23,"Наибольшее перемещение суппорта: продольное (Z)/ поперечное (X), мм",
24,"Диапазон скоростей продольных подач (Z), мм/мин",
25,"Диапазон скоростей поперечных подач (X), мм/мин (мм/об)",
26,"Скорость быстрых продольных/ поперечных ходов, м/мин",
27,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),
28,"Наибольший шаг нарезаемой резьбы, мм",
29,"Допустимое усилие резания суппорта Рz, Py, Pz кН",
30,Задняя бабка,
31,"Наибольший ход пиноли задней бабки, мм",
32,Конус в пиноли задней бабки,
33,Электрооборудование и привод станка,
34,Питающая сеть станка,~380В 50Гц
35,Количество электродвигателей на станке,
36,"Электродвигатель главного привода, кВт (об/мин)",37 (1500)
37,"Электродвигатель подач по оси X, кВт",
38,"Электродвигатель подач по оси Z, кВт",
39,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,6 (2800)"
40,"Электродвигатель восьмипозиционной инструментальной головки, кВт (об/мин)",
41,"Электродвигатель транспортера стружки, кВт (об/мин)","0,75 (1500)"
42,"Электродвигатель насоса смазки коробки скоростей, кВт (об/мин)",
43,"Электродвигатель дозаторной смазки, кВт (об/мин)","0,37 (1500)"
44,"Электродвигатель циркуляционной смазки, кВт (об/мин)","0,55 (1000)"
45,"Электродвигатель насоса гидростанции, кВт","7,5 (1440)"
46,"Электродвигатель подпитки, кВт","1,1 (1500)"
47,"Суммарная мощность электродвигателей, кВт",
48,"Суммарная мощность станка, кВт",до 600
49,Габариты и масса станка,
50,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3825 х 2320 х 2800
51,"Масса станка с ЧПУ, кг",1050
