index,Наименование параметра,3Д756
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий (диаметр х высота), мм",800 х 350
3,"Наименьшие размеры обрабатываемой заготовки круглого сечения, (диаметр х высота), мм",40 х 5
4,"Наибольшая высота наименьшего диаметра обрабатываемой заготовки круглого сечения, мм",40
5,"Необрабатываемый внутренний диаметр заготовки наибольшего диаметра, мм",
6,"Наибольшее расстояние от основания станка до рабочей поверхности стола, мм",1060
7,"Расстояние от оси шлифовального круга до направляющих колонны (вылет), мм",250
8,"Плоскость обработанных поверхностей, мкм",
9,"Параллельность верхней обработанной поверхности основанию, мкм",
10,"Шероховатость обработанной поверхности, Ra, мкм",
11,"Наибольшая масса обрабатываемых изделий, кг",200
12,Рабочий стол станка,
13,"Наружный диаметр электромагнитного стола, мм",800
14,"Внутренний диаметр электромагнитного стола, мм",120
15,"Частота вращения стола (6 ступеней), об/мин","5; 7,5; 10; 15; 21; 30"
16,"Продольное перемещение стола, мм",530
17,"Скорость продольного движения стола, м/мин",32
18,"Мощность электромагнитной плиты, Вт",
19,Шлифовальная бабка,
20,"Наибольшие размеры шлифовального круга по ГОСТ 2424-83, мм",500х100х400
21,"Размер шлифовальных сегментов, мм",100 х 85
22,Количество шлифовальных сегментов в патроне,10
23,Число оборотов шлифовального круга в минуту,980
24,"Конец шпинделя шлифовальной бабки по ГОСТ 2323-76 (наибольший диаметр конуса), мм",100
25,Конусность,1:5
26,"Диаметр резьбы, мм",М48х3
27,"Наибольшее вертикальное перемещение шлифовальной бабки, мм",410
28,"Цена деления лимба вертикального перемещения шлифовальной бабки, мм",0005
29,"Вертикальное перемещение шлифовальной бабки на один оборот лимба, мм",025
30,"Вертикальные подачи шлифовальной бабки, мм/мин",005..15
31,"Скорость вертикального ускоренного перемещения, м/мин",025
32,"Скорость замедленного подвода шлифовальной бабки, мм/мин",
33,"Наклон шлифовального круга, мм",005..02
34,Привод и электрооборудование станка,
35,род тока питающей сети,"50Гц, 380 В"
36,Количество электродвигателей на станке,8
37,"Электродвигатель шпинделя шлифовальной бабки, кВт",30
38,"Электродвигатель привода вращения стола, кВт",22
39,"Электродвигатель привода подач, кВт",15
40,"Электродвигатель насоса системы смазки, кВт",018
41,"Электродвигатель насоса системы охлаждения, кВт",06
42,"Электродвигатель магнитного сепаратора, кВт",012
43,"Электродвигатель привода фильтра-транспортера, кВт",012
44,"Общая установленная мощность всех электродвигателей, кВт",361
45,Габариты и масса станка,
46,"Габарит станка, мм",4440 х 2530 х 2520
47,"Масса станка, кг",10100
