index,Наименование параметра,3К225В
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр устанавливаемого изделия, мм",200
3,"Наибольший диаметр устанавливаемого изделия в кожухе, мм",100
4,"Наибольшая длина устанавливаемого изделия, мм",50
5,"Наименьший и наибольший диаметр шлифуемого отверстия, мм",3..50
6,"Наибольшая длина шлифования при диаметре шлифования не менее 100 мм, мм",50
7,"Расстояние от оси шпинделя передней бабки до подошвы станины, мм",1100
8,"Расстояние от оси шпинделя передней бабки до зеркала стола (высота центров), мм",410
9,"Расстояние от опорного торца фланца шпинделя изделия до торца кронштейна шлифовальной бабки, мм",580
10,"Расстояние от торца нового круга торцешлифовального приспособления до опорного торца фланца шпинделя, мм",80..160
11,Рабочий стол станка,
12,"Наибольшая длина перемещения стола, мм",320
13,"Ручное перемещения стола за один оборот маховика, мм",19
14,"Скорость перемещения стола при шлифовании, м/мин",1..7
15,"Скорость перемещения стола при правке круга, м/мин",01..2
16,"Скорость перемещения стола при быстром продольном подводе и отводе, м/мин",10
17,Шлифовальная бабка,
18,"Частота вращения шпинделя внутришлифовальной головки, 1/мин",-
19,"Частота вращения пневмошпинделя внутришлифовальной головки А20/40, 1/мин",20000..40000
20,"Наибольший диаметр шлифовального круга по ГОСТ 2424-83, мм",пп3..25
21,"Наибольший высота шлифовального круга по ГОСТ 2424-83, мм",8..25
22,"Диаметр отверстия шлифовального круга по ГОСТ 2424-83, мм",1..6
23,Поперечное перемещение шлифовальной бабки (для станка 3к225 - бабка изделия),
24,"Перемещение за один оборот маховичка - грубое (наладочное), мм",25
25,"Перемещение за один оборот маховичка - тонкое, мм",025
26,"Перемещение на одно деление лимба, мм",0001
27,"Перемещение на одно качание рычага ручной дозированной подачи, мм",0001
28,"Наибольшее наладочное перемещение шлифовальной бабки - назад (на рабочего), мм",-
29,"Наибольшее наладочное перемещение шлифовальной бабки - вперед (от рабочего), мм",-
30,"Величины поперечной подачи шлифовальной бабки на сторону, мм/дв.ход",
31,"Передняя бабка (бабка изделия, шпиндель изделия)",
32,"Наибольший угол поворота бабки изделия, град",45
33,"Наибольший наладочное перемещение бабки изделия - назад (на рабочего), град",20
34,"Наибольший наладочное перемещение бабки изделия - вперед (от рабочего), град",100
35,"Частота вращения изделия (бесступенчатое регулирование), об/мин",280..2000
36,Торцешлифовальное приспособление,
37,"Частота вращения торцового шпинделя, 1/мин",11500
38,"Продольное перемещение торцового шлифовального круга наибольшее наладочное, мм",80
39,"Продольное перемещение торцового шлифовального круга наибольшее рабочее (тонкое), мм",4
40,"Продольное перемещение торцового шлифовального круга за один оборот маховичка наладочного перемещения, мм",27
41,"Продольное перемещение торцового шлифовального круга за один оборот маховичка рабочей (тонкой) подачи, мм",01
42,"Продольное перемещение торцового шлифовального круга на одно деление лимба рабочей (тонкой) подачи, мм",00025
43,"Размеры торцешлифовального круга, мм",ЧШ50 х 32 х 13
44,Привод и электрооборудование станка,
45,Количество электродвигателей на станке,6
46,"Электродвигатель шпинделя шлифовальной бабки, кВт",-
47,"Электрошпиндель шлифовальной бабки ШК24/1,1, кВт",11
48,"Электрошпиндель шлифовальной бабки ШК48/0,8, кВт",08
49,"Электрошпиндель шлифовальной бабки ШК96/0,4, кВт",04
50,"Электродвигатель привода торцешлифовального приспособления, кВт",055
51,"Электродвигатель привода изделия (бабки изделия) постоянного тока, кВт",076
52,"Электродвигатель насоса гидросистемы, кВт",22
53,"Электродвигатель фильтра-транспортера, кВт",009
54,"Электродвигатель насоса системы охлаждения, кВт",015
55,"Электродвигатель магнитного сепаратора, кВт",009
56,"Общая мощность электродвигателей, кВт",384
57,"Привод с магнитным усилителем ПМУ5М4У4, кВт",07
58,"Привод с магнитным усилителем ЭТ1Е2-9УХП4, кВт",-
59,Количество преобразовательных агрегатов,2
60,Габаритные размеры и масса станка,
61,"Габаритные размеры станка (длина х ширина х высота), мм",2295 х 1800 х 1750
62,"Масса станка с электрооборудованием и охлаждением, кг",2900
