index,Наименование параметра,8А725
0,Основные параметры станка,
1,"Наибольшие размеры сечения круглой заготовки (угол реза 90°), мм",250
2,"Наибольшие размеры сечения круглой заготовки (угол реза 45°), мм",
3,"Наибольшие размеры сечения квадратной заготовки (угол реза 90°), мм",220 х 220
4,"Наибольшие размеры сечения прямоугольной заготовки (угол реза 45°), мм",
5,"Наибольшее расстояние от полотна до верхней части рамы, мм",
6,"Максимальная длина отрезаемой заготовки по упору, мм",800
7,"Расстояние от основания станка до опорной поверхности заготовки, мм",550
8,"Размеры применяемого ножовочного полотна(ДхШхТолщ.), мм","500х40х2; Ø 8,5"
9,"Максимальная ширина пропила, мм",35
10,Число двойных ходов пильной рамы в минуту,"45, 56, 71, 90, 112, 140"
11,"Длина хода пильной рамы, мм",128
12,"Угол поворота тисков, град",
13,"Производительность при резке стали 45 ГОСТ 1050-74 Ø 100мм, не менее см2/мин",
14,Механизм зажима заготовки,гидравл
15,Механизм подачи заготовки,гидравл
16,Электрооборудование станка,
17,"Электродвигатель главного привода, кВт (об/мин)","2/ 2,5 (1420/ 2550)"
18,"Электродвигатель гидростанции, кВт (об/мин)","1,1 (920)"
19,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
20,Габарит и масса пресс-ножниц,
21,"Габарит пресс-ножниц (длна х ширина х высота), мм",2080 х 1250 х 1090
22,"Масса пресс-ножниц, кг",1100
