index,Наименование параметра,2Н106П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",6
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,50..250
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",125
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",200 х 200
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",130
9,"Ход гильзы шпинделя, мм",70
10,"Частота вращения шпинделя, об/мин",1000..8000
11,Количество скоростей шпинделя,7
12,Конус шпинделя,Морзе 1а
13,Привод,
14,"Электродвигатель привода, кВт",04
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",560 х 405 х 625
17,"Масса станка, кг",80
