index,Наименование параметра,1И611П
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",260
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",250
4,"Наибольший диаметр заготовки над суппортом, мм",125
5,"Наибольшая длина заготовки (РМЦ), мм",500
6,"Наибольшая длина обточки, мм",500
7,"Высота центров, мм",135
8,"Высота резца, мм",16 х 16
9,Шпидель,
10,"Диаметр сквозного отверстия в шпинделе, мм",25
11,"Наибольший диаметр прутка, мм",24
12,Число ступеней частот прямого вращения шпинделя,21
13,"Частота прямого вращения шпинделя, об/мин (число ступеней)",20..2000 (21)
14,Размер внутреннего конуса в шпинделе (ГОСТ 13214),Морзе 4
15,Торможение шпинделя,есть
16,Конец шпинделя по ГОСТ 12593-72,4
17,Подачи,
18,"Наибольшая длина хода каретки, мм",500
19,"Наибольшее поперечное перемещение суппорта, мм",180
20,"Продольное перемещение суппорта за один оборот лимба, мм",20
21,"Цена деления лимба продольного перемещения суппорта, мм",01
22,"Цена деления лимба поперечного перемещения суппорта, мм",002
23,"Поперечное перемещение суппорта за один оборот лимба, мм",3
24,Число ступеней продольных подач,25
25,"Пределы рабочих подач продольных, мм/об","0,01..3 (25)"
26,Число ступеней поперечных подач,25
27,"Пределы рабочих подач поперечных, мм/об",0005..15
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
29,"Наибольшее допустимое тяговое усилие, Н (кг)",
30,Количество нарезаемых резьб метрических,33
31,"Пределы шагов нарезаемых резьб метрических, мм","0,2..48 (33)"
32,Количество нарезаемых резьб дюймовых,26
33,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм","24..0,5 (26)"
34,Количество нарезаемых резьб модульных,35
35,"Пределы шагов нарезаемых резьб модульных, модули","0,2..30 (35)"
36,Пределы шагов нарезаемых резьб питчевых,нет
37,Верхние салазки суппорта (Резцовые салазки),
38,"Наибольшее перемещение салазок, мм",120
39,"Цена деления лимба перемещения салазок, мм",005
40,"Перемещение салазок за один оборот лимба, мм",3
41,Резьбоуказатель,нет
42,Блокировка,есть
43,Предохранение от перегрузок,есть
44,Выключающие упоры продольные / поперечные,есть
45,Быстрый ход,нет
46,Задняя бабка,
47,Центр в пиноли задней бабки,Морзе 3
48,"Наибольшее перемещение пиноли задней бабки, мм",85
49,"Цена деления линейки/ лимба перемещения пиноли задней бабки, мм","1/ 0,05"
50,"Поперечное смещение задней бабки, мм",±10
51,Электрооборудование,
52,Количество электродвигателей на станке,3
53,"Мощность электродвигателя главного привода, кВт (об/мин)",3 (1420)
54,Тип электродвигателя главного привода,АОЛ2-32-4
55,"Мощность электродвигателя станции смазки, кВт (об/мин)","0,08 (1390)"
56,Тип электродвигателя гидростанции,АОЛ-012-4
57,Тип станции смазки,
58,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)","0,15 (2800)"
59,Насос охлаждения (помпа),ПА-22
60,Габариты и масса станка,
61,"Габариты станка (длина ширина высота), мм",1770_970_1300
62,"Масса станка, кг",1120
