index,Наименование параметра,3Д4230
0,Основные параметры,
1,Класс точности по ГОСТ 8-71,В/А
2,"Наибольший диаметр вращения устанавливаемого изделия, мм",580
3,"Наибольшая длина устанавливаемого изделия в центрах, мм",1600
4,"Наибольшая длина устанавливаемого изделия в патронах, мм",1450
5,"Наибольший диаметр шлифования без люнета, мм",200
6,"Наибольший диаметр шлифования в люнете, мм","130, 200"
7,"Наименьший диаметр шлифования в люнете, мм",25
8,"Расстояние от оси шпинделя передней бабки до зеркала стола - высота центров, мм",300
9,"Наибольшая длина шлифования, мм",1600
10,"Наибольший радиус кривошипа, мм",110
11,"Наибольшая масса обрабатываемого изделия, кг",160
12,Станина и столы станка,
13,"Наибольшее продольное перемещение стола от руки/ от гидравлики, мм",1600/ 1600
14,"Скорость перемещения стола от гидросистемы наименьшая/ наибольшая, м/мин","0,2/ 5,0"
15,"Ручное замедленное/ ускоренное перемещения стола за один оборот маховика, мм",
16,Шлифовальная бабка,
17,"Наибольшее перемещение шлифовальной бабки, мм",175
18,"Диаметр шлифовального круга - наименьший/ наибольший, мм",750/ 900
19,"Диаметр шлифовального круга - посадочный, мм",305
20,"Наибольшая высота устанавливаемого круга, мм",63
21,"Частота вращения шпинделя шлифовальной бабки, об/мин",740
22,"Окружная скорость шлифовального круга, м/с",35
23,"Конец шлифовального шпинделя, мм",
24,Механизм поперечных подач шлифовальной бабки,
25,"Наибольшее перемещение шлифовальной бабки по винту, мм",175
26,"Быстрый подвод шлифовальной бабки, мм",100
27,"Время быстрого подвода шлифовальной бабки, с",
28,"Толчковая подача - периодическая подача с реверсированием стола (на один зуб храпового колеса), мм",
29,"Цена деления лимба поперечной подачи, мм",
30,"Цена деления лимба тонкой поперечной подачи, мм",
31,"Величина поперечного перемещения шлифовальной бабки за один оборот маховика (лимба), мм",
32,"Скорость быстрого установочного перемещения шлифовальной бабки, мм/мин",
33,"Точность обработки - конусность, мкм",25
34,"Точность обработки - овальность, мкм",25
35,Передняя бабка,
36,"Частота вращения изделия (при частоте тока 50 Гц), об/мин",30; 60; 85; 174
37,Количество скоростей вращения изделия,4
38,Конус шпинделя передней бабки,
39,Задняя бабка,
40,"Величина отвода пиноли задней бабки от руки рычагом/ винтом, мм",
41,Конус шпинделя пиноли задней бабки,
42,Привод и электрооборудование станка,
43,Количество электродвигателей на станке,7
44,"Электродвигатель шпинделя шлифовальной бабки М1, кВт",110
45,"Электродвигатель насоса системы охлаждения М2, кВт",025
46,"Электродвигатель магнитного сепаратора М3, кВт",009
47,"Электродвигатель основного насоса гидросистемы М4, кВт",22
48,"Электродвигатель насоса системы смазки шпинделя М5, кВт",009
49,"Электродвигатель насоса системы смазки направляющих стола М6, кВт",009
50,"Электродвигатель привода изделия М7, кВт",17
51,"Суммарная мощность электродвигателей, кВт",1463
52,Габаритные размеры и масса станка,
53,"Габаритные размеры станка (длина х ширина х высота), мм",5600 х 2600 х 1900
54,"Масса станка с электрооборудованием и охлаждением, кг",7500
