index,Наименование параметра,1П756ДФ3
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр устанавливаемой заготовки над станиной, мм",630
3,"Наибольший диаметр обрабатываемой в патроне заготовки над станиной, мм",500
4,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе, мм",80
5,"Наибольшая длина изделия устанавливаемого в патроне, мм",320
6,"Высота резца, устанавливаемого в резцедержателе, мм",32; 25
7,Количество одновременно управляемых координат,2/2
8,"Высота оси центров от подошвы станка, мм",1100
9,"Допустимая масса заготовки из стали, кг",
10,Шпиндель,
11,Количество рабочих скоростей шпинделя,"Три ступени - 1:16, 1:4, 1:1"
12,"Пределы чисел оборотов шпинделя (бесступенчатое регулирование внутри ступеней), об/мин","8..100; 31,5..400; 125..1600"
13,Центр шпинделя передней бабки по ГОСТ 25557-82,М100
14,Конец шпинделя,11М
15,"Наибольший допустимый крутящий момент на шпинделе, кН*м",315
16,Подачи,
17,"Дискретность задания перемещения продольного (Z)/ поперечного (X), мм","0,01/ 0,005"
18,"Наибольшее перемещение суппорта: продольное (Z)/ поперечное (X), мм",720/ 480
19,"Диапазон скоростей продольных подач (Z), мм/мин (мм/об)",1..2000
20,"Диапазон скоростей поперечных подач (X), мм/мин (мм/об)",1..2000
21,"Скорость быстрых продольных/ поперечных ходов, м/мин",10
22,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),12..16
23,"Наибольший шаг нарезаемой резьбы, мм",39999
24,"Допустимое усилие резания суппорта Рz, Py, Pz кН",2/ 10/ 6
25,Электрооборудование и привод станка,
26,Питающая сеть станка,~380В 50Гц
27,Количество электродвигателей на станке,10
28,"Электродвигатель главного привода, кВт",30
29,"Электродвигатель подач по оси X, кВт",1.7
30,"Электродвигатель подач по оси Z, кВт",1.7
31,"Электродвигатель насоса охлаждения, кВт",015
32,"Электродвигатель восьмипозиционной инструментальной головки, кВт",075
33,"Электродвигатель четырехпозиционной инструментальной головки, кВт",075
34,"Электродвигатель транспортера стружки, кВт",075
35,"Электродвигатель насоса смазки суппорта, кВт",008
36,"Электродвигатель насоса смазки передней бабки, кВт",018
37,"Суммарная мощность электродвигателей, кВт",
38,"Суммарная мощность станка, кВт",
39,Габариты и масса станка,
40,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3200 х 2740 х 2600
41,"Масса станка с ЧПУ, кг",9000
