index,Наименование параметра,5Е32
0,Основные параметры станка,
1,"Наибольший модуль нарезаемого колеса по стали, мм",2..6
2,"Наибольший диаметр нарезаемых цилиндрических прямозубых колес (0°), мм",800
3,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (30°), мм",500
4,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (45°), мм",
5,"Наибольший диаметр нарезаемых цилиндрических косозубых колес (60°), мм",
6,"Наибольший диаметр червячных нарезаемых колес, мм",
7,"Наибольшая длина венца нарезаемых цилиндрических прямозубых колес (0°), мм",
8,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (30°), мм",
9,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (45°), мм",
10,"Наибольшая длина венца нарезаемых цилиндрических косозубых колес (60°), мм",
11,Наименьшее число нарезаемых зубьев,
12,"Расстояние между осями стола и фрезы, мм",30..480
13,"Расстояние от плоскости стола до оси фрезы, мм",190..525
14,"Расстояние от оси шпинделя до направляющих суппорта, мм",220
15,Стол,
16,"Диаметр стола, мм",475
17,"Наибольшее перемещение стола, мм",-
18,"Конус в шпинделе стола, мм",
19,"Ускоренное перемещение стола, мм/мин",-
20,"Ручное перемещение стола за одно деление лимба, мм",-
21,"Ручное перемещение стола за один оборот лимба, мм",-
22,Суппортная стойка,
23,"Наибольшее перемещение суппортной стойки, мм",450
24,"Быстрое перемещение суппортной стойки, мм/мин",230
25,"Перемещение стойки на одно деление лимба, мм",002
26,"Перемещение стойки на один оборот лимба, мм",40
27,Блокировка от перегрузки,есть
28,Суппорт,
29,"Наибольшее перемещение суппорта, мм",335
30,"Ускоренное перемещение каретки суппорта, мм/мин",220
31,"Наибольший диаметр режущего инструмента - фрезы, мм",150
32,"Наименьшая длина режущего инструмента (фрезы), мм",130
33,"Диаметры фрезерных оправок, мм",
34,"Ускоренное перемещение шпинделя вдоль оси, мм/мин",
35,"Наибольший угол поворота суппорта, град",
36,"Наибольший угол наклона зубьев нарезаемого колеса, град",±60°
37,"Поворот суппорта на одно деление шкалы линейки, град",1°
38,"Поворот суппорта на одно деление шкалы нониуса, мин",6`
39,Конусное отверстие шпинделя,Морзе 5
40,"Наибольшее осевое перемещение фрезы, мм",
41,Механика станка,
42,"Пределы оборотов фрезы, об/мин",535..250
43,Число ступеней оборотов фрезы,8
44,"Пределы вертикальных (продольных) подач фрезы, мм/об",
45,"Пределы радиальных подач подвижной стойки, мм/об",
46,"Пределы радиальных подач подвижного стола, мм/об",
47,"Пределы тангенциальных (осевых) подач фрезы, мм/об",
48,Число ступеней подач,
49,Привод и электрооборудование станка,
50,"Электродвигатель главного привода, кВт (об/мин)",45
51,"Электродвигатель ускоренного хода суппорта, кВт (об/мин)",10
52,"Электродвигатель привода осевого движения фрезы, кВт (об/мин)",018
53,"Электродвигатель привода гидронасоса, кВт (об/мин)",-
54,"Электродвигатель насоса охлаждения, кВт (об/мин)",015
55,Габаритные размеры и масса станка,
56,"Габаритные размеры станка (длина х ширина х высота), мм",2390 х 1340 х 2080
57,"Масса станка с электрооборудованием и охлаждением, кг",4000
