index,Наименование параметра,2Т150
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",50
2,"Наибольший диаметр сверления в чугуне СЧ20, мм",60
3,"Наибольший диаметр нарезаемой резьбы в стали 45, мм",М42
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,210..750
5,Наименьшее и наибольшее расстояние от торца шпинделя до плиты,1200
6,"Расстояние от оси вертикального шпинделя до образующей колонны (вылет), мм",360
7,Точность отверстий после развертывания,Н9
8,Рабочий стол,
9,"Размер рабочей поверхности плиты, мм",615 х 630
10,"Размер рабочей поверхности стола, мм",610 х 605
11,"Суммарный угол поворота стола вокруг колонны, град",180°
12,"Суммарный угол поворота стола вокруг собственной оси, град",-
13,"Перемещение стола наибольшее, мм",540
14,"Диаметр колонны, мм",180
15,Сверлильная головка. Шпиндель,
16,"Наибольшее перемещение шпиндельной головки (бабки) по колонне, мм",-
17,"Ход гильзы шпинделя, мм",260
18,"Частота вращения шпинделя, об/мин",40..1730
19,Количество скоростей шпинделя,12
20,Количество подач шпинделя,9
21,Величина подач шпинделя,006..15
22,Конус шпинделя,Морзе 5 АТ6
23,Отключение подачи при достижении заданной глубины сверления,"Ручное, автоматическое"
24,Реверсирование шпинделя на заданной глубине резьбы,"Ручное, автоматическое"
25,"Наибольший крутящий момент на шпинделе, Нм",400
26,"Наибольшее усилие подачи шпинделя, Н",15 000
27,Электрооборудование. Привод,
28,"Электродвигатель привода главного движения Мощность, кВт",4
29,"Электродвигатель привода насоса охлаждения, кВт",018
30,Габарит и масса станка,
31,"Габариты станка (длина ширина высота), мм",960 х 630 х 2590
32,"Масса станка (нетто), кг",850
